"name","credits","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate8","gradRate9","gradRate10","gradRate11","gradRate12","averageTTD"
"Accountancy - 178.json","123","100.0","177","62","115","174","62","717","177","540","776","177","28","33","0.0","0.0","0.0","0.0","0.0","7.0"
"Applied Baccalaureate - 83.json","118","100.0","155","51","104","110","51","569","107","462","431","107","17","25","1.0","0.0","0.0","0.0","0.0","8.0"
"BBA Accounting - 21.json","120","100.0","166","60","106","150","60","705","202","503","706","202","21","32","0.0","0.0","0.0","0.0","0.0","7.0"
"Behavior Science - 120.json","123","100.0","148","41","107","117","41","560","92","468","448","92","23","20","1.0","0.0","0.0","0.0","0.0","8.0"
"BFA Dance - 172.json","101","100.0","79","12","67","29","12","318","38","280","125","38","42","6","0.0","0.0","0.0","0.0","0.0","6.0"
"Biology - 44.json","123","100.0","181","56","125","83","56","527","106","421","229","106","31","17","1.0","0.0","0.0","0.0","0.0","1.8354222038458993e167"
"Biomedical Sciences - 143.json","115","100.0","296","98","198","324","98","1112","268","844","1220","268","17","35","0.0","0.0","0.0","0.0","0.0","7.0"
"BS Biochemistry - 47.json","120","100.0","212","68","144","142","68","671","143","528","459","143","27","18","0.0","0.0","0.0","0.0","0.0","7.0"
"Chemical Engineering - 48.json","123","100.0","437","180","257","669","180","1570","426","1144","2840","426","25","34","1.0","0.0","0.0","0.0","0.0","8.00165316"
"Chemistry and Biochemistry - 32.json","123","100.0","190","76","114","255","76","978","246","732","1452","246","5","27","1.0","0.0","0.0","0.0","0.0","8.0"
"Civil Engineering - 191.json","126","100.0","334","127","207","404","127","1231","330","901","1583","330","20","38","1.0","0.0","0.0","0.0","0.0","8.0"
"Computer Information Systems - 183.json","124","100.0","155","53","102","142","53","547","122","425","566","122","30","25","1.0","0.0","0.0","0.0","0.0","8.0"
"Computer Science - 164.json","122","100.0","72","14","58","31","14","319","49","270","142","49","29","11","0.0","0.0","0.0","0.0","0.0","7.0"
"Criminal Justice - 181.json","123","100.0","73","12","61","21","12","299","31","268","89","31","31","10","1.0","0.0","0.0","0.0","0.0","8.0"
"Early Childhood Education - 189.json","126","100.0","155","54","101","129","54","734","216","518","708","216","26","21","1.0","0.0","0.0","0.0","0.0","8.0"
"Electrical Engineering - 192.json","127","100.0","371","150","221","490","150","1317","392","925","2026","392","19","38","1.0","0.0","0.0","0.0","0.0","8.0"
"Engineering Design and Technology - 162.json","127","100.0","141","46","95","100","46","536","129","407","425","129","27","27","1.0","0.0","0.0","0.0","0.0","8.0"
"Exercise Science - 156.json","114","100.0","149","47","102","149","47","533","115","418","572","115","23","25","0.0","0.0","0.0","0.0","0.0","7.0"
"Film, Vedio and Media - 124.json","123","100.0","66","14","52","30","14","244","27","217","108","27","30","12","1.0","0.0","0.0","0.0","0.0","8.0"
"Finance - 180.json","122","100.0","164","58","106","157","58","655","157","498","735","157","28","27","1.0","0.0","0.0","0.0","0.0","8.0"
"General Psychology - 129.json","123","100.0","75","15","60","34","15","268","22","246","108","22","31","14","1.0","0.0","0.0","0.0","0.0","8.0"
"Geography - 43.json","120","100.0","52","4","48","9","4","198","6","192","21","6","37","3","0.0","0.0","0.0","0.0","0.0","7.0"
"Graph Design - 173.json","122","100.0","164","63","101","166","63","639","183","456","724","183","25","34","0.0","0.0","0.0","0.0","0.0","7.0"
"HCM-Clinical - 70.json","138","100.0","169","54","115","118","54","667","116","551","450","116","24","25","1.0","0.0","0.0","0.0","0.0","8.0"
"HCM-RDSC - 71.json","115","100.0","140","47","93","97","47","559","105","454","399","105","22","21","0.0","0.0","0.0","0.0","0.0","7.0"
"Human Resource Management - 118.json","122","100.0","72","13","59","30","13","282","30","252","111","30","33","9","0.0","0.0","0.0","0.0","0.0","7.0"
"Integrated Supply Management - 184.json","129","100.0","145","51","94","123","51","520","129","391","527","129","32","30","1.0","0.0","0.0","0.0","0.0","8.0"
"Interdisciplinary Health Services - 193.json","122","100.0","65","11","54","17","11","307","42","265","88","42","31","8","0.0","0.0","0.0","0.0","0.0","7.0"
"Management - 185.json","131","100.0","150","52","98","133","52","481","103","378","429","103","29","28","1.0","0.0","0.0","0.0","0.0","8.0"
"Marketing - 182.json","122","100.0","150","54","96","141","54","616","163","453","677","163","29","31","0.0","0.0","0.0","0.0","0.0","7.0"
"Mathematics - 42.json","120","100.0","121","32","89","103","32","428","70","358","349","70","28","14","0.0","0.0","0.0","0.0","0.0","7.0"
"Mechanical Engineering - 165.json","128","100.0","400","167","233","625","167","1394","418","976","2446","418","17","56","1.0","0.0","0.0","0.0","0.0","8.0"
"Music Theatre Performance - 158.json","111","100.0","128","39","89","114","39","590","155","435","636","155","30","17","1.0","0.0","0.0","0.0","0.0","8.0"
"Music Therapy - 174.json","122","100.0","136","36","100","117","36","474","77","397","441","77","43","17","0.0","0.0","0.0","0.0","0.0","7.0"
"Nursing - 177.json","125","100.0","256","122","134","598","122","1076","481","595","3202","481","20","40","1.0","0.0","0.0","0.0","0.0","8.0"
"Organizational Communication - 117.json","123","100.0","66","14","52","30","14","244","27","217","108","27","30","12","1.0","0.0","0.0","0.0","0.0","8.0"
"Public Relations - 125.json","123","100.0","78","18","60","39","18","306","43","263","159","43","29","15","1.0","0.0","0.0","0.0","0.0","8.0"
"Sales and Business - 114.json","123","100.0","108","31","77","72","31","454","105","349","345","105","26","24","1.0","0.0","0.0","0.0","0.0","8.0"
