"combinations","coefs","n","pMax","pAvg","r2"
"blocking","0.007603297733436002,0.0001796879708058522","1","0.24588228399275336","0.12294114199637668","0.01675926705936137"
"delay","0.007329117306493273,0.00019657967400017856","1","0.4385253947843214","0.2192626973921613","0.00753940848050727"
"centrality","0.007672751804319388,6.162493939865177e-5","1","0.44863578267062226","0.22431789133531113","0.007214611275221716"
"reachability","0.007915702778064648,1.536197459465067e-5","1","0.9368632768160592","0.4684316384080296","7.942008411410129e-5"
"blocking_reachability","0.007502549901926848,0.00013071651090342695","1","0.3102085417958723","0.15510427089793616","0.012867554762221456"
"delay_blocking","0.007341349467231988,0.00012027535610499741","1","0.2596253483186889","0.12981267415934444","0.015830842066430595"
"blocking,delay","0.007522501805651017,0.00016744131199969027,3.3441098128742356e-5","2","0.9159640853229842","0.4349262821352052","0.01689960130326429"
"blocking,centrality","0.007576290423248122,0.00016671153261968552,1.1882619745929869e-5","2","0.9046537492124","0.42811920516910873","0.016940104206163098"
"blocking,reachability","0.007531569112947504,0.00018397300817733263,4.338636652499929e-5","2","0.8238828476020245","0.3550271829548775","0.017383230784772885"
"delay,centrality","0.0074093698376229,0.0001222443086942525,3.4835878711426004e-5","2","0.7559722559850144","0.494232815101261","0.008766766518339075"
"delay,reachability","0.007289248892980882,0.00024556028617614054,-7.617472404758611e-5","2","0.7324611324302597","0.3779633602774351","0.009024142214624109"
"delay,blocking_reachability","0.007580852224562934,-4.60036761311656e-5,0.00014999219451601806","2","0.9183135204298811","0.4765081289793846","0.013000650485223808"
"centrality,reachability","0.007715813602153283,7.689358561665983e-5,-7.409044667756506e-5","2","0.7395713706460018","0.383988586884551","0.008619114970789488"
"centrality,blocking_reachability","0.007503353749732201,-1.2053544859856593e-5,0.00014605567936215412","2","0.9295816602538118","0.47659084384983025","0.012966377921018402"
"centrality,delay_blocking","0.007341175610389222,-1.1580587010199114e-6,0.00012131576628141523","2","0.9917067278561786","0.46675576606401065","0.01583220527371476"
"reachability,delay_blocking","0.007354172035770756,-1.1320439212548951e-5,0.00012104277952453238","2","0.9537267371296725","0.40564556456085005","0.015873325916421988"
"blocking_reachability,delay_blocking","0.007346161556131176,2.1954044356198737e-5,0.0001045605024308483","2","0.9316864359662177","0.5180967243405514","0.015923553069236318"
"blocking,delay,centrality","0.007537910076014641,0.00016317989100309984,1.876202635900671e-5,8.82478992904085e-6","3","0.959946971234456","0.580628912017279","0.01697230233812197"
"blocking,delay,reachability","0.007587308122504153,0.00019741510019110687,-3.285064450446442e-5,5.767961108341958e-5","3","0.941933243162655","0.5484233174173598","0.017450933540656743"
"blocking,centrality,reachability","0.007531823191760683,0.00019157245821188932,-6.2016934209992775e-6,5.17585821959502e-5","3","0.9639802320582366","0.5546217176349454","0.01740925507128399"
"delay,centrality,reachability","0.0073855013689725045,0.0001599982285559284,4.6941342523743306e-5,-9.888819155544023e-5","3","0.6861800672660394","0.5034246262873535","0.011120718857541179"
"delay,centrality,blocking_reachability","0.007577151098470176,-4.339386653060628e-5,-1.1111161559739502e-5,0.00016303858113869222","3","0.9356516644876889","0.6052309082324637","0.013084196763501477"
"centrality,reachability,delay_blocking","0.007358684935152465,3.5814271312228383e-6,-1.4829979521059883e-5,0.00011806310882303389","3","0.9788825609141818","0.594977893328491","0.015882280803812487"
"centrality,blocking_reachability,delay_blocking","0.0073475554616086935,-9.957772251065522e-6,3.51337290984521e-5,0.00010407254544461576","3","0.9421149047355647","0.6199985034658624","0.015990932100263144"
"blocking,delay,centrality,reachability","0.007585430281118514,0.0002037035137171507,-3.1609994823622475e-5,-5.546080101440335e-6,6.46269522205249e-5","4","0.9680689085972725","0.6480489091980394","0.017471649776760523"
