"combinations","coefs","n","pMax","pAvg","r2"
"blocking","0.0007137957463115302,0.00016987928721977247","1","0.10646228086185433","0.10001549843454176","0.06889854533725304"
"delay","-0.00015798772271300422,0.0003411888007186694","1","0.835428670191703","0.4447809517673527","0.08891660709292837"
"centrality","0.0005306922268381557,0.00010798338255167874","1","0.24427466298059552","0.1387644021013702","0.10656865817505201"
"reachability","0.0008677030162412705,0.00014988399071925838","1","0.3535664052229291","0.20911817595486148","0.022146222851512687"
"blocking_reachability","0.0003189655172413556,0.0001931034482758612","1","0.541658798650088","0.2873269314458903","0.10684979736623335"
"delay_blocking","0.00024898078184599007,0.0001415291916713225","1","0.6630167169402661","0.3548639089399665","0.09428416764146408"
"blocking,delay","-3.545539244943702e-5,8.786702102537741e-5,0.00025170362673834046","2","0.9639555180734228","0.5629986786641132","0.10123257442404132"
"blocking,centrality","0.0004563547544939931,7.967748712253337e-5,8.62045769469861e-5","2","0.5006048125914238","0.3294432181456435","0.11739026476563297"
"blocking,reachability","0.00031352309003080075,0.00019105067045009793,0.00019908729563796113","2","0.5633565491450477","0.2779584656934729","0.1069013928894792"
"delay,centrality","3.8814744601830157e-5,0.00017724747206795293,7.604973843993157e-5","2","0.960080047251131","0.5450700495594224","0.12124553555626627"
"delay,reachability","-0.00016506558585972235,0.00034928065560697414,-1.341079374664714e-5","2","0.9426806218949835","0.6245664996844887","0.08904388900437565"
"delay,blocking_reachability","0.00013532157195179855,9.3729786791639e-5,0.00015258297212136592","2","0.8701141322677513","0.6686404140602019","0.1088553835305851"
"centrality,reachability","0.0005285780381041799,0.00010764682985497572,2.275460686101437e-6","2","0.9896427756650413","0.4438744678289302","0.10657272718282107"
"centrality,blocking_reachability","0.00032466816643774994,6.137696660861466e-5,0.00011064039735343128","2","0.5364929768782571","0.462395699905411","0.1217934220783401"
"centrality,delay_blocking","0.00024397423016834808,7.291743117482976e-5,7.732273523073404e-5","2","0.6684483734261458","0.44456769638874016","0.12347311363611568"
"reachability,delay_blocking","6.993211773236708e-5,0.00012128608756032007,0.0001361955388011318","2","0.9101166811806829","0.46939015700545744","0.10865170327993579"
"blocking_reachability,delay_blocking","0.0002929534327666993,0.00016922583817161917,2.028884287750569e-5","2","0.910650956370418","0.6627249002814769","0.1071536731875452"
"blocking,delay,centrality","9.227262201687862e-5,5.270236237885498e-5,0.00014026555412234863,6.830704925099698e-5","3","0.9076078213182687","0.6188647349030327","0.12534117798516697"
"blocking,delay,reachability","0.00012965844850442378,0.00015240037900383484,0.00010009907004393173,0.00014233521915446356","3","0.878127561478363","0.6500527374464269","0.10892705166223804"
"blocking,centrality,reachability","0.0003391902325456889,0.00011340694474372153,6.334338448534023e-5,9.223255367915874e-5","3","0.6590936441816424","0.5118491422185969","0.12213625081737922"
"delay,centrality,reachability","1.9398587455472955e-5,0.000202205459118479,7.948782715133972e-5,-5.364664932439661e-5","3","0.9803661995279306","0.600265888199732","0.12321623603608178"
"delay,centrality,blocking_reachability","0.00013164002307034263,9.854030180964894e-5,6.181826223813584e-5,6.744737670870272e-5","3","0.874260156198925","0.7008006075355873","0.12400938489705438"
"centrality,reachability,delay_blocking","0.0001773106448614953,6.320126858117266e-5,4.5609262242794466e-5,8.387246676113716e-5","3","0.8029469573084207","0.5949320760895997","0.12498658848222677"
"centrality,blocking_reachability,delay_blocking","0.00025438839830966696,6.675106340079676e-5,3.8448863132223865e-5,5.520610034707523e-5","3","0.891166724019483","0.6817164618368805","0.12392871720602594"
"blocking,delay,centrality,reachability","0.00010573430226097443,6.061087362437799e-5,0.00012772360829587783,6.618193777289992e-5,1.5030103658707857e-5","4","0.9601248627314748","0.7525807405735693","0.12540364139473692"
