"combinations","coefs","n","pMax","pAvg","r2"
"blocking","0.028689327457367325,0.0007349683847480367","1","0.22529127766964802","0.11264563883482401","0.03725188982299121"
"delay","0.02471112441982334,0.0015308279682587217","1","0.15003496585090068","0.07501751389640067","0.05170445033568183"
"centrality","0.027701471545122387,0.00050243755943741","1","0.09951488404381498","0.04975744202190749","0.06664408945797773"
"reachability","0.02800914153132252,0.001417633410672854","1","0.12882429061798328","0.06441214530899164","0.05722671960954073"
"blocking_reachability","0.02586973180076629,0.0011000638569604096","1","0.039717478994100185","0.01985873949705012","0.10016390279097698"
"delay_blocking","0.02662308608080858,0.0006211909910347683","1","0.14690415852748606","0.07345207926374792","0.052466104216737364"
"blocking,delay","0.02520405033725619,0.0003534735025267387,0.0011708449222657782","2","0.6345032220841335","0.3358642593825518","0.05746166271924302"
"blocking,centrality","0.027428063284004874,0.00029304847901646074,0.0004223365661990651","2","0.681549641080794","0.30959539468962544","0.07087253974054153"
"blocking,reachability","0.025367583819974927,0.0009106633927298133,0.001652166210192597","2","0.127727071441325","0.06783823333129065","0.11285128447476711"
"delay,centrality","0.025670047567737667,0.0007320212404370104,0.00037055355848876286","2","0.5909316912480562","0.3125209946227308","0.07387516224417601"
"delay,reachability","0.02522716282364692,0.0009408606583554477,0.0009777646806064448","2","0.4548272367884149","0.2774663996003038","0.07124821454248487"
"delay,blocking_reachability","0.027529948177412403,-0.0008473556085155423,0.001466385534460424","2","0.6582003047861165","0.26543825977171004","0.10489867712502787"
"centrality,reachability","0.026852196679051085,0.0003672435051767465,0.0009140582098388473","2","0.3810072714521006","0.22162248693530043","0.08561024705774867"
"centrality,blocking_reachability","0.025878089706440063,8.995519096308163e-5,0.0009792045199321063","2","0.8451121621388391","0.35962191103945695","0.1010911154916857"
"centrality,delay_blocking","0.026597855793748064,0.0003674640428604792,0.0002976255049600463","2","0.5908429117853442","0.3152848347663067","0.07387859511384887"
"reachability,delay_blocking","0.02470514960294097,0.001299194343288505,0.0005640578789243625","2","0.18435407267903395","0.11536394672425715","0.10008620966515747"
"blocking_reachability,delay_blocking","0.027234451274705432,0.0023527985054325,-0.001064450602011553","2","0.3123112369247457","0.13124490338167757","0.12432487541136328"
"blocking,delay,centrality","0.02584859546340818,0.00017602449544621644,0.0006085026133171739,0.0003446931815272565","3","0.8206896743350551","0.4771039903840745","0.07519490681899144"
"blocking,delay,reachability","0.02809842250181998,0.0014847145537895043,-0.0014867155001820817,0.002495073059761775","3","0.4659708918743525","0.17339650165050002","0.12575883232560459"
"blocking,centrality,reachability","0.02537651346334172,0.0008836510059857213,2.2037273248175496e-5,0.0016149912602662273","3","0.9629177227023317","0.361762374244123","0.1129045484277732"
"delay,centrality,reachability","0.025965628917788447,0.00035207399076565116,0.0003182139067619938,0.0008166883340240917","3","0.810533583637339","0.4277275396403615","0.08706774793877103"
"delay,centrality,blocking_reachability","0.02752481515522804,-0.0008406485183475879,8.61904925574799e-5,0.001347684706628596","3","0.8531631724116525","0.4438616308458026","0.10574960796444577"
"centrality,reachability,delay_blocking","0.024912007101122305,0.00012175298590998697,0.0011534080378322563,0.00046326100576238235","3","0.7910655631558523","0.37520339635772115","0.10183728785403734"
"centrality,blocking_reachability,delay_blocking","0.02724276966861731,-1.439805894699273e-5,0.0023810068140285813,-0.0010719821783745436","3","0.9757128359555809","0.36340527466978834","0.12434741972339836"
"blocking,delay,centrality,reachability","0.028102437505561764,0.0015001188739189129,-0.001491351511988663,-1.1106800848571496e-5,0.0025164376890306757","4","0.9815180830549132","0.36447484269449804","0.1257722367491202"
