"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7"
"106466.json","44","17","27","6.0","3","76","62","11","0.002","0.021833333333333333","0.091","0.214","0.37366666666666665"
"10654.json","36","12","24","4.0","4","68","54","8","0.004833333333333334","0.05","0.14916666666666667","0.2945","0.4618333333333333"
"106573.json","32","10","22","3.0","5","58","50","7","0.004333333333333333","0.05516666666666667","0.18383333333333332","0.342","0.5158333333333334"
"106574.json","35","11","24","4.0","4","65","53","7","0.004666666666666667","0.0465","0.1525","0.31066666666666665","0.4841666666666667"
"106616.json","36","13","23","6.0","4","65","54","7","0.006","0.0505","0.16133333333333333","0.31133333333333335","0.4865"
"106749.json","40","16","24","6.0","4","73","58","10","0.0036666666666666666","0.036166666666666666","0.13133333333333333","0.2703333333333333","0.4216666666666667"
"10682.json","37","13","24","5.0","4","69","55","8","0.0055","0.04616666666666667","0.14816666666666667","0.29783333333333334","0.4681666666666667"
"106898.json","30","9","21","2.0","5","54","48","7","0.010333333333333333","0.068","0.20383333333333334","0.37716666666666665","0.5485"
"106903.json","37","13","24","4.0","4","69","55","9","0.005333333333333333","0.043833333333333335","0.14516666666666667","0.2936666666666667","0.4663333333333333"
"106955.json","35","12","23","3.0","4","65","53","9","0.005333333333333333","0.052","0.16383333333333333","0.3283333333333333","0.5041666666666667"
"106981.json","35","12","23","3.0","4","65","53","9","0.006333333333333333","0.053","0.159","0.3145","0.49383333333333335"
"107001.json","40","16","24","6.0","4","73","58","10","0.004666666666666667","0.04083333333333333","0.1305","0.27116666666666667","0.435"
"107121.json","40","14","26","6.0","4","70","58","8","0.0025","0.03183333333333333","0.11516666666666667","0.26","0.42833333333333334"
"107197.json","44","18","26","8.0","4","76","62","10","0.0015","0.02666666666666667","0.097","0.2245","0.3863333333333333"
"107246.json","43","17","26","7.0","4","75","61","10","0.0031666666666666666","0.029333333333333333","0.10066666666666667","0.22933333333333333","0.3933333333333333"
"107378.json","39","14","25","5.0","4","68","57","9","0.0028333333333333335","0.036333333333333336","0.12966666666666668","0.2801666666666667","0.44333333333333336"
"107380.json","39","14","25","5.0","4","68","57","9","0.0028333333333333335","0.03383333333333333","0.126","0.2748333333333333","0.44533333333333336"
"107475.json","40","15","25","5.0","4","70","58","10","0.004333333333333333","0.034666666666666665","0.13183333333333333","0.2775","0.44066666666666665"
"10756.json","23","5","18","1.0","5","41","41","4","0.019666666666666666","0.1145","0.296","0.498","0.6623333333333333"
"107649.json","27","7","20","1.0","5","48","45","6","0.01633333333333333","0.101","0.266","0.45416666666666666","0.6285"
"107771.json","46","20","26","9.0","4","79","64","11","0.0028333333333333335","0.028","0.0995","0.2165","0.36683333333333334"
"107795.json","37","12","25","4.0","4","65","55","8","0.0023333333333333335","0.04133333333333333","0.13816666666666666","0.29733333333333334","0.462"
