"name","credits","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","18","90.0","6","0","6","0","0","12","0","12","0","0","6","0","0.94","0.99","1.0","1.0","0.0","2.5501380267639746"
"1.json","18","90.0","9","1","8","2","1","19","2","17","5","2","5","1","0.79","0.97","0.99","1.0","1.0","3.25"
"10.json","18","90.0","11","2","9","4","2","23","4","19","10","4","5","2","0.78","0.97","1.0","1.0","1.0","3.2547100276053524"
"100.json","18","90.0","18","4","14","9","4","32","5","27","17","5","3","3","0.7","0.94","0.99","1.0","1.0","3.3667365632055137"
"101.json","18","90.0","22","6","16","14","6","38","8","30","28","8","3","4","0.59","0.91","0.98","1.0","1.0","3.525"
"102.json","18","90.0","24","6","18","14","6","44","8","36","28","8","2","4","0.54","0.9","0.98","1.0","1.0","3.582169353831646"
"103.json","18","90.0","26","8","18","19","8","47","11","36","39","11","2","5","0.53","0.89","0.98","1.0","1.0","3.6117"
"104.json","18","90.0","18","4","14","9","4","32","5","27","17","5","3","3","0.72","0.95","0.99","1.0","1.0","3.3405345363557637"
"105.json","18","90.0","24","6","18","14","6","44","8","36","28","8","2","4","0.55","0.9","0.98","1.0","1.0","3.5671954384707423"
"106.json","18","90.0","22","6","16","14","6","38","8","30","28","8","3","4","0.6","0.91","0.98","1.0","1.0","3.5139685544729327"
"107.json","18","90.0","26","8","18","19","8","47","11","36","39","11","2","5","0.53","0.9","0.98","1.0","1.0","3.5946"
"108.json","18","90.0","22","6","16","14","6","41","8","33","28","8","2","4","0.63","0.92","0.99","1.0","1.0","3.4685673493199998"
"109.json","18","90.0","26","8","18","19","8","47","11","36","39","11","2","5","0.53","0.89","0.98","1.0","1.0","3.60339412"
"11.json","18","90.0","13","3","10","6","3","28","6","22","15","6","4","3","0.71","0.95","0.99","1.0","1.0","3.35579052"
"110.json","18","90.0","26","8","18","19","8","47","11","36","39","11","2","5","0.53","0.88","0.98","1.0","1.0","3.6104"
