"name","credits","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","18","57.5","6","0","6","0","0","12","0","12","0","0","6","0","0.28","0.59","0.78","0.9","0.95","4.492355765567663"
"1.json","18","57.5","9","1","8","2","1","19","2","17","5","2","5","1","0.18","0.45","0.69","0.84","0.92","4.974"
"10.json","18","57.5","11","2","9","4","2","23","4","19","10","4","5","2","0.18","0.45","0.68","0.83","0.92","5.016983471012"
"100.json","18","57.5","18","4","14","9","4","32","5","27","17","5","3","3","0.11","0.34","0.57","0.74","0.86","5.533298471153113"
"101.json","18","57.5","22","6","16","14","6","38","8","30","28","8","3","4","0.06","0.24","0.46","0.66","0.8","6.0204886145711285"
"102.json","18","57.5","24","6","18","14","6","44","8","36","28","8","2","4","0.04","0.18","0.4","0.62","0.78","6.247306659694231"
"103.json","18","57.5","26","8","18","19","8","47","11","36","39","11","2","5","0.04","0.17","0.37","0.57","0.73","6.4599278240851215"
"104.json","18","57.5","18","4","14","9","4","32","5","27","17","5","3","3","0.12","0.34","0.57","0.74","0.85","5.5558"
"105.json","18","57.5","24","6","18","14","6","44","8","36","28","8","2","4","0.03","0.19","0.4","0.61","0.77","6.2644"
"106.json","18","57.5","22","6","16","14","6","38","8","30","28","8","3","4","0.06","0.24","0.47","0.65","0.79","6.028910301809866"
"107.json","18","57.5","26","8","18","19","8","47","11","36","39","11","2","5","0.04","0.17","0.37","0.57","0.74","6.4358"
"108.json","18","57.5","22","6","16","14","6","41","8","33","28","8","2","4","0.07","0.25","0.48","0.67","0.8","5.989490384323948"
"109.json","18","57.5","26","8","18","19","8","47","11","36","39","11","2","5","0.04","0.18","0.37","0.58","0.74","6.431891985564818"
"11.json","18","57.5","13","3","10","6","3","28","6","22","15","6","4","3","0.13","0.38","0.62","0.78","0.89","5.3012"
"110.json","18","57.5","26","8","18","19","8","47","11","36","39","11","2","5","0.03","0.17","0.38","0.58","0.74","6.44608716"
"111.json","18","57.5","28","10","18","24","10","50","14","36","50","14","2","6","0.03","0.17","0.36","0.55","0.72","6.5396"
"112.json","18","57.5","13","3","10","6","3","21","3","18","9","3","4","3","0.24","0.52","0.73","0.86","0.93","4.7536"
"113.json","18","57.5","21","6","15","14","6","35","7","28","26","7","3","4","0.08","0.27","0.5","0.68","0.81","5.877"
"114.json","18","57.5","21","6","15","14","6","35","7","28","26","7","3","4","0.08","0.28","0.51","0.68","0.81","5.85815072"
"115.json","18","57.5","26","9","17","22","9","45","11","34","43","11","2","5","0.05","0.19","0.39","0.59","0.75","6.374595278191442"
"116.json","18","57.5","19","5","14","11","5","33","6","27","20","6","3","4","0.11","0.35","0.56","0.73","0.85","5.564"
"117.json","18","57.5","23","7","16","17","7","39","9","30","33","9","3","5","0.06","0.23","0.44","0.64","0.78","6.118486378397113"
"118.json","18","57.5","26","8","18","19","8","46","10","36","37","10","2","5","0.03","0.17","0.38","0.59","0.74","6.403583090802552"
"119.json","18","57.5","28","10","18","25","10","49","13","36","50","13","2","6","0.04","0.16","0.35","0.54","0.71","6.5977"
"12.json","18","57.5","11","2","9","4","2","24","4","20","10","4","4","2","0.25","0.53","0.74","0.87","0.94","4.7023"
"120.json","18","57.5","19","5","14","11","5","33","6","27","20","6","3","4","0.11","0.32","0.56","0.73","0.84","5.639975476911123"
"121.json","18","57.5","26","8","18","19","8","46","10","36","37","10","2","5","0.04","0.18","0.37","0.58","0.73","6.4348892174320005"
"122.json","18","57.5","23","7","16","17","7","39","9","30","33","9","3","5","0.06","0.23","0.44","0.63","0.77","6.1752"
"123.json","18","57.5","28","10","18","25","10","49","13","36","50","13","2","6","0.03","0.16","0.35","0.55","0.72","6.5674"
"124.json","18","57.5","23","7","16","16","7","42","9","33","31","9","2","5","0.06","0.24","0.47","0.67","0.81","5.9757"
"125.json","18","57.5","27","9","18","22","9","48","12","36","44","12","2","6","0.04","0.17","0.37","0.57","0.73","6.4798"
"126.json","18","57.5","27","9","18","22","9","48","12","36","44","12","2","6","0.04","0.18","0.39","0.58","0.74","6.44679514"
"127.json","18","57.5","29","11","18","28","11","51","15","36","57","15","2","7","0.03","0.15","0.34","0.54","0.7","6.654279773898478"
"128.json","18","57.5","9","1","8","2","1","16","1","15","3","1","5","1","0.25","0.55","0.76","0.88","0.95","4.605"
"129.json","18","57.5","12","2","10","4","2","23","3","20","8","3","4","2","0.25","0.53","0.73","0.86","0.93","4.724003396694202"
