"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD","inverseComplexity","inverseDelay","inverseBlocking","centrality"
"56.json",17,4,13,1.0,3,31,29,3,0.0649,0.2172,0.417,0.5947,0.7373,6.3912,16,12,4,"9.0"
"57.json",22,6,16,2.0,2,42,34,4,0.0271,0.1325,0.296,0.4721,0.6293,7.079110499132547,20,14,6,"14.0"
"58.json",19,5,14,1.0,3,35,31,4,0.0441,0.1696,0.3522,0.5284,0.6786,6.7476,19,14,5,"12.0"
"59.json",23,7,16,2.0,2,44,35,5,0.028,0.1289,0.2872,0.4606,0.6146,7.1838,21,14,7,"17.0"
"6.json",12,2,10,0.0,4,26,24,2,0.0809,0.281,0.505,0.6845,0.8084,5.887607911049914,12,10,2,"4.0"
"60.json",21,6,15,2.0,2,40,33,4,0.0377,0.1573,0.3298,0.5058,0.6541,6.92566892,18,12,6,"14.0"
"61.json",23,7,16,2.0,2,44,35,5,0.029,0.1316,0.2792,0.4545,0.6076,7.2229,21,14,7,"17.0"
"62.json",23,7,16,2.0,2,44,35,5,0.0243,0.1212,0.281,0.456,0.6143,7.207788760791105,21,14,7,"17.0"
"63.json",24,8,16,2.0,2,46,36,6,0.0287,0.1183,0.26,0.4259,0.5819,7.3926,22,14,8,"20.0"
"64.json",9,1,8,0.0,5,16,21,1,0.157,0.3879,0.6115,0.7684,0.8699,5.3472,9,8,1,"2.0"
"65.json",15,3,12,1.0,4,28,27,2,0.0659,0.2341,0.4271,0.6092,0.7454,6.3175,15,12,3,"7.0"
"66.json",15,3,12,1.0,4,28,27,2,0.0639,0.2188,0.4252,0.6075,0.743,6.3327,15,12,3,"7.0"
"67.json",19,5,14,2.0,3,37,31,3,0.0454,0.1771,0.3538,0.5295,0.6767,6.7665,17,12,5,"12.0"
"68.json",12,2,10,0.0,4,23,24,2,0.1407,0.3535,0.5678,0.7327,0.8447,5.546520778876078,12,10,2,"4.0"
"69.json",17,4,13,1.0,4,32,29,3,0.0574,0.2135,0.4043,0.5811,0.7207,6.4599,18,14,4,"9.0"
"7.json",13,3,10,0.0,4,28,25,3,0.0742,0.258,0.4672,0.6513,0.7853,6.0622,13,10,3,"6.0"
"70.json",18,4,14,1.0,3,35,30,3,0.0556,0.2037,0.3912,0.5756,0.7209,6.499454652077888,18,14,4,"9.0"
"71.json",21,6,15,2.0,3,41,33,4,0.0415,0.1615,0.3355,0.5095,0.6613,6.892554440144999,20,14,6,"14.0"
"72.json",12,2,10,0.0,4,23,24,2,0.1338,0.3438,0.5545,0.7257,0.8381,5.5882,12,10,2,"4.0"
"73.json",18,4,14,1.0,3,35,30,3,0.0551,0.2046,0.3952,0.5786,0.7238,6.468349945465207,18,14,4,"9.0"
"74.json",17,4,13,1.0,4,32,29,3,0.0597,0.2155,0.4134,0.5911,0.7309,6.4203,18,14,4,"9.0"
"75.json",21,6,15,2.0,3,41,33,4,0.0417,0.1591,0.3319,0.5136,0.6608,6.8724,20,14,6,"14.0"
"76.json",14,3,11,0.0,3,28,26,3,0.1271,0.3288,0.5398,0.7094,0.8232,5.673087713565738,13,10,3,"6.0"
"77.json",19,5,14,1.0,3,37,31,4,0.0559,0.1961,0.3855,0.5701,0.7138,6.544289255444014,19,14,5,"11.0"
"78.json",19,5,14,1.0,3,37,31,4,0.0553,0.2018,0.3918,0.5719,0.7096,6.5369,19,14,5,"11.0"
"79.json",22,7,15,2.0,3,43,34,5,0.0378,0.153,0.3241,0.4963,0.649,6.95055494,21,14,7,"16.0"
"8.json",9,1,8,0.0,5,19,21,1,0.1251,0.3415,0.5656,0.7352,0.8478,5.5587,9,8,1,"2.0"
"80.json",11,2,9,0.0,5,18,23,2,0.1373,0.3536,0.5706,0.7382,0.8496,5.5278,12,10,2,"4.0"
"81.json",19,5,14,2.0,4,32,31,3,0.0407,0.1656,0.3457,0.5265,0.6752,6.7819,21,16,5,"12.0"
"82.json",19,5,14,2.0,4,32,31,3,0.0428,0.1694,0.3453,0.5224,0.6738,6.8177,21,16,5,"12.0"
"83.json",24,8,16,4.0,3,42,36,4,0.0312,0.1238,0.2665,0.4331,0.5875,7.3555,24,16,8,"20.0"
"84.json",14,3,11,0.0,4,25,26,3,0.1273,0.3215,0.5354,0.7062,0.8246,5.6981,15,12,3,"6.0"
"85.json",21,6,15,2.0,4,36,33,4,0.0342,0.1493,0.3258,0.5038,0.655,6.9283,24,18,6,"14.0"
"86.json",22,6,16,2.0,3,39,34,4,0.0331,0.1394,0.3047,0.4915,0.6469,6.9811,24,18,6,"14.0"
"87.json",26,9,17,4.0,3,46,38,5,0.0225,0.1085,0.2515,0.4087,0.5638,7.4816,27,18,9,"22.0"
"88.json",14,3,11,0.0,4,25,26,3,0.1262,0.323,0.5379,0.7077,0.8257,5.6878,15,12,3,"6.0"
"89.json",22,6,16,2.0,3,39,34,4,0.0318,0.1395,0.3122,0.4901,0.6494,6.9923,24,18,6,"14.0"
"9.json",12,2,10,0.0,4,26,24,2,0.0873,0.2776,0.4951,0.6738,0.8003,5.9285,12,10,2,"4.0"
"90.json",21,6,15,2.0,4,36,33,4,0.0349,0.1544,0.321,0.5081,0.6596,6.9276,24,18,6,"14.0"
"91.json",26,9,17,4.0,3,46,38,5,0.0256,0.1051,0.2463,0.4139,0.5684,7.4696,27,18,9,"22.0"
"92.json",16,4,12,0.0,3,30,28,4,0.1094,0.3046,0.5096,0.6853,0.8025,5.836,16,12,4,"8.0"
"93.json",23,7,16,2.0,3,41,35,5,0.0316,0.1353,0.3006,0.4858,0.6347,7.049,25,18,7,"16.0"
"94.json",23,7,16,2.0,3,41,35,5,0.0322,0.1379,0.3057,0.4798,0.6362,7.03,25,18,7,"16.0"
"95.json",27,10,17,4.0,3,48,39,6,0.0229,0.1013,0.2418,0.4055,0.5578,7.513383599999999,28,18,10,"24.0"
"96.json",12,2,10,0.0,4,20,24,2,0.1346,0.3449,0.5714,0.732,0.8376,5.5704,12,10,2,"4.0"
"97.json",18,4,14,1.0,3,32,30,3,0.0544,0.2001,0.3908,0.5702,0.7185,6.5019,18,14,4,"9.0"
"98.json",18,4,14,1.0,3,32,30,3,0.0543,0.1977,0.3909,0.571,0.7189,6.5027,18,14,4,"9.0"
"99.json",22,6,16,2.0,2,41,34,4,0.033,0.1384,0.3035,0.4825,0.6421,6.9983,20,14,6,"14.0"
"base.json",6,0,6,0.0,6,12,18,0,0.1567,0.4023,0.6336,0.7915,0.8852,5.2412,6,6,0,"0.0"
