"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD","inverseComplexity","inverseDelay","inverseBlocking","centrality"
"140.json",19,5,14,2.0,3,37,31,3,0.0483,0.1808,0.3542,0.5319,0.6766,6.7801104588794825,17,12,5,"12.0"
"141.json",21,6,15,2.0,3,41,33,4,0.0444,0.1622,0.3346,0.5,0.6602,6.8926,20,14,6,"14.0"
"142.json",21,6,15,2.0,3,41,33,4,0.0387,0.1609,0.3282,0.507,0.6571,6.9052,20,14,6,"14.0"
"143.json",22,7,15,2.0,3,43,34,5,0.0392,0.1554,0.3281,0.5088,0.658,6.91224635596131,21,14,7,"16.0"
"144.json",12,2,10,0.0,4,20,24,2,0.134,0.3565,0.5709,0.7387,0.8463,5.5335,12,10,2,"4.0"
"145.json",18,4,14,1.0,3,32,30,3,0.0571,0.203,0.3889,0.5729,0.7202,6.4853,18,14,4,"9.0"
"146.json",18,4,14,1.0,3,32,30,3,0.0569,0.2027,0.3965,0.5797,0.7229,6.489191224635596,18,14,4,"9.0"
"147.json",22,6,16,2.0,2,41,34,4,0.0324,0.1453,0.3058,0.4892,0.645,7.0104,20,14,6,"14.0"
"148.json",18,4,14,1.0,3,32,30,3,0.0555,0.1988,0.3967,0.5753,0.7195,6.4914,18,14,4,"9.0"
"149.json",22,6,16,2.0,3,38,34,4,0.0287,0.1399,0.3024,0.4771,0.6338,7.058148919122464,24,18,6,"14.0"
"15.json",14,4,10,0.0,4,30,26,4,0.0638,0.2381,0.446,0.6232,0.7571,6.22005234,14,10,4,"8.0"
"150.json",24,6,18,2.0,2,44,36,4,0.0154,0.0976,0.2448,0.4232,0.5929,7.3457,24,18,6,"14.0"
"151.json",26,8,18,3.0,2,47,38,5,0.0163,0.0923,0.2336,0.4023,0.5678,7.5051058148919125,26,18,8,"19.0"
"152.json",18,4,14,1.0,3,32,30,3,0.0534,0.1996,0.3975,0.5772,0.7173,6.5103,18,14,4,"9.0"
"153.json",24,6,18,2.0,2,44,36,4,0.0149,0.0989,0.2496,0.4311,0.6021,7.3032,24,18,6,"14.0"
"154.json",22,6,16,2.0,3,38,34,4,0.0292,0.1351,0.3008,0.4812,0.637,7.06145051058149,24,18,6,"14.0"
"155.json",26,8,18,3.0,2,47,38,5,0.0132,0.0872,0.2228,0.3879,0.5517,7.5773,26,18,8,"19.0"
"156.json",22,6,16,2.0,2,41,34,4,0.0322,0.1339,0.3071,0.4848,0.6436,7.0321,20,14,6,"14.0"
"157.json",26,8,18,3.0,2,47,38,5,0.0148,0.0918,0.2306,0.401,0.5629,7.497106145051058,26,18,8,"19.0"
"158.json",26,8,18,3.0,2,47,38,5,0.0163,0.0922,0.2355,0.4095,0.5692,7.4587,26,18,8,"19.0"
"159.json",28,10,18,4.0,2,50,40,6,0.0161,0.0855,0.2109,0.3677,0.5314,7.6903,28,18,10,"24.0"
"16.json",9,1,8,0.0,5,16,21,1,0.1462,0.3699,0.5964,0.7652,0.8675,5.4018,9,8,1,"2.0"
"160.json",11,2,9,0.0,5,18,23,2,0.14,0.3475,0.5703,0.7396,0.8453,5.5248,12,10,2,"4.0"
"161.json",14,3,11,0.0,4,25,26,3,0.1265,0.3162,0.5338,0.7035,0.8268,5.703,15,12,3,"6.0"
"162.json",14,3,11,0.0,4,25,26,3,0.1317,0.3294,0.5423,0.7166,0.8302,5.6514,15,12,3,"6.0"
"163.json",16,4,12,0.0,3,30,28,4,0.11,0.2962,0.5098,0.689,0.8079,5.8282,16,12,4,"8.0"
"164.json",19,5,14,2.0,4,32,31,3,0.0409,0.1626,0.3418,0.517,0.6762,6.8241,21,16,5,"12.0"
"165.json",21,6,15,2.0,4,36,33,4,0.0357,0.1501,0.3208,0.5007,0.6557,6.929078011045887,24,18,6,"14.0"
"166.json",22,6,16,2.0,3,39,34,4,0.0288,0.1337,0.3015,0.4814,0.6461,6.9991,24,18,6,"14.0"
"167.json",23,7,16,2.0,3,41,35,5,0.0327,0.1358,0.3035,0.4834,0.6431,7.016,25,18,7,"16.0"
"168.json",19,5,14,2.0,4,32,31,3,0.0425,0.1741,0.3474,0.5213,0.6703,6.8124,21,16,5,"12.0"
"169.json",22,6,16,2.0,3,39,34,4,0.0316,0.1396,0.3054,0.4851,0.6466,7.0083,24,18,6,"14.0"
"17.json",15,3,12,1.0,4,28,27,2,0.0706,0.2349,0.4332,0.6036,0.7412,6.3223,15,12,3,"7.0"
"170.json",21,6,15,2.0,4,36,33,4,0.0303,0.1458,0.314,0.4946,0.6483,6.9671,24,18,6,"14.0"
"171.json",23,7,16,2.0,3,41,35,5,0.0313,0.1329,0.3063,0.4861,0.6434,7.0145,25,18,7,"16.0"
"172.json",24,8,16,4.0,3,42,36,4,0.0257,0.1169,0.269,0.4368,0.59,7.3448,24,16,8,"20.0"
"173.json",26,9,17,4.0,3,46,38,5,0.0252,0.1049,0.2419,0.4058,0.5643,7.484265140000001,27,18,9,"22.0"
"174.json",26,9,17,4.0,3,46,38,5,0.0209,0.1045,0.2459,0.4167,0.572,7.4376,27,18,9,"22.0"
"175.json",27,10,17,4.0,3,48,39,6,0.023,0.1047,0.2401,0.4052,0.5608,7.5238,28,18,10,"24.0"
"176.json",13,3,10,0.0,4,21,25,3,0.1295,0.3378,0.5489,0.7166,0.8283,5.64698124,13,10,3,"6.0"
"177.json",19,5,14,1.0,3,33,31,4,0.0517,0.1954,0.3776,0.5653,0.7096,6.55499991,19,14,5,"11.0"
"178.json",19,5,14,1.0,3,33,31,4,0.0556,0.1935,0.3881,0.5688,0.7167,6.5412,19,14,5,"11.0"
"179.json",23,7,16,2.0,2,42,35,5,0.0289,0.1382,0.3057,0.4759,0.6281,7.077248426513999,21,14,7,"16.0"
"18.json",15,3,12,1.0,4,28,27,2,0.072,0.2341,0.4301,0.6087,0.747,6.3173,15,12,3,"7.0"
"180.json",21,6,15,2.0,3,35,33,4,0.0402,0.1606,0.3282,0.4994,0.6482,6.9406,22,16,6,"14.0"
"181.json",23,7,16,2.0,3,39,35,5,0.0269,0.1226,0.2776,0.453,0.6066,7.260607724842652,25,18,7,"17.0"
"182.json",26,8,18,3.0,2,46,38,5,0.0163,0.0906,0.2314,0.4004,0.5627,7.482655499991,26,18,8,"19.0"
"183.json",27,9,18,3.0,2,48,39,6,0.0152,0.0839,0.2174,0.382,0.547,7.6186,27,18,9,"22.0"
"184.json",21,6,15,2.0,3,35,33,4,0.0369,0.1592,0.3302,0.5054,0.658,6.914426060772484,22,16,6,"14.0"
"185.json",26,8,18,3.0,2,46,38,5,0.0128,0.0852,0.2271,0.394,0.5576,7.5269,26,18,8,"19.0"
"186.json",23,7,16,2.0,3,39,35,5,0.0264,0.1269,0.2853,0.4581,0.6054,7.2149,25,18,7,"17.0"
"187.json",27,9,18,3.0,2,48,39,6,0.0133,0.0868,0.2183,0.3851,0.549,7.621391442606077,27,18,9,"22.0"
"188.json",26,9,17,4.0,2,45,38,5,0.0217,0.1053,0.2475,0.4116,0.567,7.478,25,16,9,"22.0"
"189.json",28,10,18,4.0,2,49,40,6,0.0162,0.0826,0.2086,0.3694,0.5332,7.685,28,18,10,"25.0"
"19.json",19,5,14,2.0,3,37,31,3,0.0482,0.1713,0.3423,0.5227,0.672,6.818862139144261,17,12,5,"12.0"
"190.json",28,10,18,4.0,2,49,40,6,0.016,0.0841,0.2103,0.3699,0.5366,7.7149,28,18,10,"25.0"
