"name","complexity","completionRate","term","credits"
"Accountancy - 178.json",177.0,0.8,8.0,123.0
"Accountancy - 178.json",177.0,0.84,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.86,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.85,8.0,123.0
"Accountancy - 178.json",177.0,0.77,8.0,123.0
"Accountancy - 178.json",177.0,0.8,8.0,123.0
"Accountancy - 178.json",177.0,0.71,8.0,123.0
"Accountancy - 178.json",177.0,0.75,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.85,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.83,8.0,123.0
"Accountancy - 178.json",177.0,0.75,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.84,8.0,123.0
"Accountancy - 178.json",177.0,0.83,8.0,123.0
"Accountancy - 178.json",177.0,0.87,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.75,8.0,123.0
"Accountancy - 178.json",177.0,0.8,8.0,123.0
"Accountancy - 178.json",177.0,0.83,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.87,8.0,123.0
"Accountancy - 178.json",177.0,0.73,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.83,8.0,123.0
"Accountancy - 178.json",177.0,0.89,8.0,123.0
"Accountancy - 178.json",177.0,0.76,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.85,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.85,8.0,123.0
"Accountancy - 178.json",177.0,0.77,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.85,8.0,123.0
"Accountancy - 178.json",177.0,0.75,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.77,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.77,8.0,123.0
"Accountancy - 178.json",177.0,0.84,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.74,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.8,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.76,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.83,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.84,8.0,123.0
"Accountancy - 178.json",177.0,0.83,8.0,123.0
"Accountancy - 178.json",177.0,0.85,8.0,123.0
"Accountancy - 178.json",177.0,0.8,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.73,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.76,8.0,123.0
"Accountancy - 178.json",177.0,0.85,8.0,123.0
"Accountancy - 178.json",177.0,0.8,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.82,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.79,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.74,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.77,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.74,8.0,123.0
"Accountancy - 178.json",177.0,0.8,8.0,123.0
"Accountancy - 178.json",177.0,0.78,8.0,123.0
"Accountancy - 178.json",177.0,0.77,8.0,123.0
"Accountancy - 178.json",177.0,0.81,8.0,123.0
"Accountancy - 178.json",177.0,0.72,8.0,123.0
"Accounting - 74.json",300.0,0.61,12.0,181.0
"Accounting - 74.json",300.0,0.67,12.0,181.0
"Accounting - 74.json",300.0,0.6,12.0,181.0
"Accounting - 74.json",300.0,0.67,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.71,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
