"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"ENGL 110","1","0.9352","0.988","0.9978","3","8","6","8","0"
"MATH 162","1","0.936","0.9894","0.998","4","13","6","12","0"
"ECE 101","1","0.9994","1.0","0.0","1","0","1","0","0"
"ECE 131","1","0.989","0.998","0.9996","3","9","4","8","0"
"PHYC 160","1","0.976","0.9964","0.9996","3","8","6","1","0"
"ENGL 120","2","0.9344","0.9912","0.999","3","7","6","15","1"
"MATH 163","2","0.9394","0.9898","0.9984","4","12","6","23","1"
"PHYC 161","2","0.9984","0.9994","0.9996","3","7","6","1","1"
"PHYC 161L","2","0.9982","0.9998","0.0","1","0","3","0","0"
"ECE 231","2","0.9908","0.998","0.9998","3","6","4","11","1"
"ECE 203","3","0.9398","0.9904","0.9988","3","5","6","29","4"
"ECE 238L","3","0.989","0.9988","0.9998","4","1","3","3","1"
"Basic Science","3","0.9986","0.9998","0.0","3","0","1","0","0"
"Basic Science Lab","3","0.9986","1.0","0.0","1","0","1","0","0"
"ENGL 219","3","0.995","0.9992","0.9996","3","0","3","2","2"
"ECON 105","3","0.9958","0.9992","0.0","3","0","1","0","0"
"ECE 206L","4","0.9744","0.9956","0.9996","2","1","5","11","5"
"ECE 300","4","0.9912","0.9986","0.9998","4","7","6","5","2"
"ECE 213","4","0.9332","0.9918","0.999","3","3","6","23","5"
"MATH 264","4","0.9904","0.9988","0.9996","4","1","4","5","2"
"ECE 330","4","0.9752","0.9958","0.9994","3","3","4","11","2"
"ECE 321L","5","0.9398","0.9904","0.9988","4","1","6","13","6"
"MATH 327","5","0.974","0.9944","0.9982","3","2","5","5","2"
"ECE 314","5","0.974","0.995","0.9996","3","0","5","7","7"
"ECE 340","5","0.9876","0.9974","0.9996","3","2","6","3","3"
"Second Language","5","0.9886","0.9976","0.9996","3","0","1","0","0"
"ECE 335","6","0.9728","0.9956","0.9992","3","0","4","3","3"
"ECE 331","6","0.9772","0.9974","0.9994","3","1","6","5","5"
"ECE 344L","6","0.9364","0.992","0.9986","4","0","6","10","10"
"Social Sciences","6","0.976","0.9954","0.999","3","0","1","0","0"
"ECE 419","7","0.8376","0.9754","0.9956","3","1","2","1","0"
"ECE 437","7","0.9352","0.9882","0.9974","3","0","4","3","3"
"ECE 435","7","0.935","0.9914","0.9972","3","0","6","0","0"
"Tech Elective","7","0.9318","0.9882","0.999","3","0","1","0","0"
"Humanities","7","0.8368","0.9744","0.9962","3","0","1","0","0"
"ECE 420","8","0.8458","0.9772","0.9972","3","0","2","1","1"
"ECE 440","8","0.833","0.968","0.995","3","0","4","3","3"
"Tech Elective","8","0.8308","0.9704","0.9952","3","0","1","0","0"
"Fine Arts","8","0.8522","0.9772","0.9968","3","0","1","0","0"
"Humanities","8","0.8408","0.9748","0.9964","3","0","1","0","0"
