"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"MATH 121","1","0.9996","0.0","0.0","3","6","4","6","0"
"ENGL 110","1","0.9998","0.0","0.0","3","7","4","7","0"
"HIST 101","1","1.0","0.0","0.0","3","0","1","0","0"
"ASTR 101","1","1.0","0.0","0.0","3","0","1","0","0"
"MGMT 113","1","1.0","0.0","0.0","3","0","1","0","0"
"MATH 180","2","0.9998","0.0","0.0","3","1","3","3","1"
"ENGL 120","2","0.9998","0.0","0.0","3","6","4","13","1"
"CHEM 121","2","1.0","0.0","0.0","3","1","2","0","0"
"CHEM 123L","2","1.0","0.0","0.0","1","0","2","0","0"
"ECON 105","2","0.9998","0.0","0.0","3","0","1","0","0"
"SPAN 101","2","0.9998","0.0","0.0","3","0","1","0","0"
"ENGL 219","3","0.9998","0.0","0.0","3","0","3","2","2"
"ARTH 101","3","1.0","0.0","0.0","3","0","1","0","0"
"ECON 106","3","0.9988","1.0","0.0","3","5","3","5","0"
"STAT 145","3","0.998","1.0","0.0","3","4","4","9","1"
"CJ 130","3","0.9998","0.0","0.0","3","0","1","0","0"
"CS 150L","4","1.0","0.0","0.0","3","1","2","1","0"
"MGMT 202","4","0.9904","0.9996","1.0","3","10","4","9","0"
"PSY 105","4","1.0","0.0","0.0","3","0","1","0","0"
"RELG 107","4","0.9998","0.0","0.0","3","0","1","0","0"
"MGMT 300","5","0.9986","0.9998","0.0","3","2","4","8","2"
"MGMT 303","5","0.998","0.9998","0.0","3","3","3","7","1"
"MGMT 306","5","0.9978","1.0","0.0","3","2","4","8","2"
"MGMT 308","5","0.998","0.9998","0.0","3","1","4","5","2"
"MGMT 340","5","0.9896","0.9998","1.0","3","4","4","7","1"
"MGMT 398","5","0.9996","0.0","0.0","1","0","1","0","0"
"MGMT 310","6","0.9914","0.9998","0.0","3","1","4","5","2"
"MGMT 322","6","0.9936","1.0","0.0","3","2","3","5","1"
"MGMT 326","6","0.9988","1.0","0.0","3","0","3","6","6"
"MGMT 341","6","0.9908","0.9996","0.0","3","1","4","2","2"
"MGMT 346","6","0.9986","1.0","0.0","3","0","3","2","2"
"MGMT 450","7","0.9934","1.0","0.0","3","0","4","10","10"
"MGMT 343","7","0.9986","0.0","0.0","3","0","1","0","0"
"HIST 311","7","0.9914","0.9998","0.0","3","0","1","0","0"
"MGMT 444","7","0.9912","0.9996","1.0","3","0","3","2","2"
"MGMT 342","7","0.9908","0.9996","0.0","3","0","1","0","0"
"MGMT 328","8","0.995","1.0","0.0","3","1","3","1","1"
"MGMT 443","8","0.9616","0.9976","1.0","3","0","4","0","0"
"MGMT 449","8","0.96","0.9982","0.9996","3","0","3","2","2"
"MGMT 498","8","0.9626","0.9986","0.9998","3","0","4","12","12"
"MGMT 348","8","0.9708","0.9994","1.0","4","0","1","0","0"
