"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"MATH 121","1","0.9884","0.9978","0.9998","3","6","4","6","0"
"ENGL 110","1","0.9912","0.9986","1.0","3","7","4","7","0"
"Humanities","1","0.9988","0.0","0.0","3","0","1","0","0"
"Physical & Natural Science","1","0.9992","0.9998","0.9998","3","0","1","0","0"
"MGMT 113","1","0.9994","0.9998","1.0","3","0","1","0","0"
"MATH 180","2","0.9954","0.9992","0.9998","3","1","3","3","1"
"ENGL 120","2","0.9894","0.9986","0.9994","3","6","4","13","1"
"Physical & Natural Science","2","0.9994","0.9998","0.9998","3","0","1","0","0"
"Physical & Natural Science Lab","2","0.9978","1.0","0.0","1","0","1","0","0"
"ECON 105","2","0.9978","0.9994","0.0","3","0","1","0","0"
"Foreign Language","2","0.998","0.9992","0.9998","3","0","1","0","0"
"ENGL 219","3","0.9964","0.9994","1.0","3","0","3","2","2"
"Fine Arts","3","0.9986","0.9998","0.9998","3","0","1","0","0"
"ECON 106","3","0.973","0.997","0.9996","3","5","3","5","0"
"STAT 145","3","0.9766","0.9954","0.9994","3","4","4","9","1"
"Elective","3","0.9958","0.9998","0.0","3","0","1","0","0"
"CS 150L","4","0.9904","0.9978","0.9998","3","1","2","1","0"
"MGMT 202","4","0.9738","0.9952","0.9992","3","8","4","7","0"
"Social & Behavioral Science","4","0.9902","0.9984","1.0","3","0","1","0","0"
"Elective","4","0.9888","0.9982","0.9998","3","0","1","0","0"
"MGMT 300","5","0.9764","0.9976","0.9994","3","2","4","8","2"
"MGMT 303","5","0.9748","0.9964","0.9994","3","3","3","7","1"
"MGMT 306","5","0.974","0.9942","0.9992","3","2","4","8","2"
"MGMT 308","5","0.9786","0.997","0.9988","3","1","4","5","2"
"MGMT 340","5","0.9264","0.9898","0.9982","3","2","4","3","1"
"MGMT 398","5","0.9868","0.9974","0.9996","1","0","1","0","0"
"MGMT 310","6","0.935","0.988","0.9982","3","1","4","5","2"
"MGMT 322","6","0.9386","0.9902","0.999","3","2","3","5","1"
"MGMT 326","6","0.9764","0.9962","0.9996","3","0","3","6","6"
"MGMT 341","6","0.9336","0.9894","0.9984","3","1","4","2","2"
"MGMT 346","6","0.9748","0.9944","0.9982","3","0","3","2","2"
"MGMT 450","7","0.9402","0.991","0.9994","3","0","4","10","10"
"MGMT 343","7","0.9748","0.9964","0.9992","3","0","1","0","0"
"Upper Divison Humanities","7","0.9316","0.9878","0.9988","3","0","1","0","0"
"Elective","7","0.9356","0.989","0.999","3","0","1","0","0"
"Elective","7","0.935","0.9888","0.999","3","0","1","0","0"
"MGMT 328","8","0.9336","0.989","0.9988","3","1","3","1","1"
"MGMT 443","8","0.8384","0.9736","0.9968","3","0","4","0","0"
"MGMT 449","8","0.841","0.9742","0.9952","3","0","1","0","0"
"MGMT 498","8","0.8374","0.9746","0.9966","3","0","4","12","12"
"Elective","8","0.847","0.9784","0.997","4","0","1","0","0"
