"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"ENGL 110","1","0.011799999999999991","0.01980000000000004","0.0033999999999999586","3","8","6","8","0"
"MATH 162","1","0.017199999999999993","0.0242","0.0025999999999999357","4","13","6","12","0"
"ECE 101","1","0.007999999999999993","0.00040000000000006697","-0.0026000000000000467","1","0","1","0","0"
"ECE 131","1","0.018799999999999997","0.02080000000000004","0.0035999999999999366","3","9","4","8","0"
"PHYC 160","1","0.0116","0.011200000000000099","0.0031999999999999806","3","8","6","1","0"
"ENGL 120","2","0.01899999999999999","0.011200000000000099","0.0005999999999999339","3","7","6","15","1"
"MATH 163","2","0.01419999999999999","0.02300000000000002","-0.00040000000000006697","4","12","6","23","1"
"PHYC 161","2","0.01859999999999999","0.013600000000000056","0.0020000000000000018","3","7","6","1","1"
"PHYC 161L","2","0.004799999999999999","-0.009199999999999986","0.00039999999999995595","1","0","3","0","0"
"ECE 231","2","0.004799999999999999","-0.0017999999999999128","0.0018000000000000238","3","6","4","11","1"
"ECE 203","3","0.0204","0.013800000000000034","0.005199999999999982","3","5","6","29","4"
"ECE 238L","3","0.01659999999999999","0.014600000000000057","-0.00040000000000006697","4","1","3","3","1"
"Basic Science","3","0.004199999999999995","0.010000000000000009","0.0020000000000000018","3","0","1","0","0"
"Basic Science Lab","3","0.0005999999999999894","-0.0043999999999999595","-0.0006000000000000449","1","0","1","0","0"
"ENGL 219","3","0.016199999999999992","0.007000000000000006","0.0011999999999999789","3","0","3","2","2"
"ECON 105","3","0.011999999999999997","0.010200000000000098","0.0025999999999999357","3","0","1","0","0"
"ECE 206L","4","0.00979999999999999","0.005600000000000049","-0.00040000000000006697","2","1","5","11","5"
"ECE 300","4","0.014399999999999996","0.0122000000000001","0.0010000000000000009","4","7","6","5","2"
"ECE 213","4","0.015","0.018400000000000083","0.006000000000000005","3","3","6","23","5"
"MATH 264","4","0.022599999999999995","0.022199999999999998","0.0031999999999999806","4","1","4","5","2"
"ECE 330","4","0.0116","0.0008000000000000229","-0.0031999999999999806","3","3","4","11","2"
"ECE 321L","5","0.015199999999999991","0.03060000000000007","0.0037999999999999146","4","1","6","13","6"
"MATH 327","5","0.012999999999999998","0.013400000000000079","0.0015999999999999348","3","2","5","5","2"
"ECE 314","5","0.01659999999999999","0.0010000000000000009","-0.0034000000000000696","3","0","5","7","7"
"ECE 340","5","0.007999999999999993","0.009200000000000097","0.0020000000000000018","3","2","6","3","3"
"Second Language","5","0.013999999999999999","0.012800000000000034","-0.0028000000000000247","3","0","1","0","0"
"ECE 335","6","0.015599999999999989","0.0048000000000000265","0.00039999999999995595","3","0","4","3","3"
"ECE 331","6","0.015199999999999991","0.01200000000000001","0.0041999999999999815","3","1","6","5","5"
"ECE 344L","6","0.028999999999999998","0.01760000000000006","0.0028000000000000247","4","0","6","10","10"
"Social Sciences","6","0.00839999999999999","0.011800000000000033","0.00039999999999995595","3","0","1","0","0"
"ECE 419","7","0.014600000000000002","0.028200000000000003","-0.0028000000000000247","3","1","2","1","0"
"ECE 437","7","0.016199999999999992","0.0050000000000000044","-0.0031999999999999806","3","0","4","3","3"
"ECE 435","7","0.0102","0.014000000000000012","-0.0008000000000000229","3","0","6","0","0"
"Tech Elective","7","0.010999999999999996","0.0034000000000000696","0.0035999999999999366","3","0","1","0","0"
"Humanities","7","0.0208","0.009600000000000053","0.0008000000000000229","3","0","1","0","0"
"ECE 420","8","0.01899999999999999","0.016000000000000014","0.0021999999999999797","3","0","2","1","1"
"ECE 440","8","0.019599999999999992","0.0024000000000000687","0.0011999999999999789","3","0","4","3","3"
"Tech Elective","8","0.027200000000000002","0.017400000000000082","-0.00019999999999997797","3","0","1","0","0"
"Fine Arts","8","0.025999999999999995","0.027200000000000002","0.0010000000000000009","3","0","1","0","0"
"Humanities","8","0.030399999999999996","0.0394000000000001","0.0031999999999999806","3","0","1","0","0"
