"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"MATH 121","1","0.011200000000000015","0.00660000000000005","0.0031999999999999806","3","6","4","6","0"
"ENGL 110","1","0.0012000000000000066","0.0040000000000000036","0.0010000000000000009","3","7","4","7","0"
"HIST 101","1","0.020800000000000013","0.0011999999999999789","0.0010000000000000009","3","0","1","0","0"
"ASTR 101","1","0.009800000000000003","0.0046000000000000485","0.0006000000000000449","3","0","1","0","0"
"MGMT 113","1","0.0058","0.006800000000000028","0.0011999999999999789","3","0","1","0","0"
"MATH 180","2","0.013600000000000001","0.00880000000000003","0.0011999999999999789","3","1","3","3","1"
"ENGL 120","2","0.009200000000000014","0.006800000000000028","-0.0008000000000000229","3","6","4","13","1"
"CHEM 121","2","0.015399999999999997","0.0033999999999999586","0.0013999999999999568","3","1","2","0","0"
"CHEM 123L","2","0.00360000000000002","0.0030000000000000027","0.0","1","0","2","0","0"
"ECON 105","2","0.011200000000000015","0.006199999999999983","-0.00019999999999997797","3","0","1","0","0"
"SPAN 101","2","0.0068000000000000005","0.0043999999999999595","0.0006000000000000449","3","0","1","0","0"
"ENGL 219","3","0.01820000000000002","0.012599999999999945","0.0016000000000000458","3","0","3","2","2"
"ARTH 101","3","0.004600000000000021","0.010599999999999943","0.00039999999999995595","3","0","1","0","0"
"ECON 106","3","0.010800000000000004","0.005600000000000049","0.0023999999999999577","3","5","3","5","0"
"STAT 145","3","0.0022000000000000075","0.0041999999999999815","0.00019999999999997797","3","4","4","9","1"
"CJ 130","3","0.008800000000000002","0.017800000000000038","0.0","3","0","1","0","0"
"CS 150L","4","0.007800000000000001","0.0030000000000000027","0.0011999999999999789","3","1","2","1","0"
"MGMT 202","4","0.024800000000000016","0.012399999999999967","0.0013999999999999568","3","10","4","9","0"
"PSY 105","4","0.008599999999999997","-0.005800000000000027","-0.00019999999999997797","3","0","1","0","0"
"RELG 107","4","0.013200000000000017","0.005199999999999982","-0.00019999999999997797","3","0","1","0","0"
"MGMT 300","5","0.009000000000000008","0.009000000000000008","0.0010000000000000009","3","2","4","8","2"
"MGMT 303","5","0.009800000000000003","0.007800000000000029","0.0","3","3","3","7","1"
"MGMT 306","5","0.0068000000000000005","0.0036000000000000476","0.0016000000000000458","3","2","4","8","2"
"MGMT 308","5","0.007599999999999996","0.005199999999999982","0.00039999999999995595","3","1","4","5","2"
"MGMT 340","5","0.013800000000000007","0.010599999999999943","0.0008000000000000229","3","4","4","7","1"
"MGMT 398","5","0.009000000000000008","0.007800000000000029","-0.00019999999999997797","1","0","1","0","0"
"MGMT 310","6","0.01820000000000002","0.005199999999999982","0.0","3","1","4","5","2"
"MGMT 322","6","0.007400000000000018","0.0031999999999999806","0.0008000000000000229","3","2","3","5","1"
"MGMT 326","6","0.019600000000000006","0.012399999999999967","-0.0006000000000000449","3","0","3","6","6"
"MGMT 341","6","0.014800000000000008","0.005600000000000049","-0.00039999999999995595","3","1","4","2","2"
"MGMT 346","6","0.00940000000000002","0.007800000000000029","-0.0013999999999999568","3","0","3","2","2"
"MGMT 450","7","0.007400000000000018","0.010399999999999965","0.0013999999999999568","3","0","4","10","10"
"MGMT 343","7","0.01040000000000002","0.006000000000000005","0.0018000000000000238","3","0","1","0","0"
"HIST 311","7","0.010599999999999998","0.006000000000000005","0.0010000000000000009","3","0","1","0","0"
"MGMT 444","7","0.02200000000000002","0.007800000000000029","0.0","3","0","3","2","2"
"MGMT 342","7","0.011400000000000021","0.0030000000000000027","-0.0006000000000000449","3","0","1","0","0"
"MGMT 328","8","0.009800000000000003","0.0028000000000000247","0.0016000000000000458","3","1","3","1","1"
"MGMT 443","8","0.009200000000000014","0.00539999999999996","-0.00039999999999995595","3","0","4","0","0"
"MGMT 449","8","0.015000000000000013","0.015599999999999947","0.00019999999999997797","3","0","3","2","2"
"MGMT 498","8","0.03","0.02300000000000002","0.0006000000000000449","3","0","4","12","12"
"MGMT 348","8","0.03620000000000001","0.036799999999999944","0.0011999999999999789","4","0","1","0","0"
