"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"MATH 121","1","1.0","0.0","0.0","3","6","4","6","0"
"ENGL 110","1","0.9994","0.0","0.0","3","7","4","7","0"
"Humanities","1","1.0","0.0","0.0","3","0","1","0","0"
"Physical & Natural Science","1","1.0","0.0","0.0","3","0","1","0","0"
"MGMT 113","1","1.0","0.0","0.0","3","0","1","0","0"
"MATH 180","2","1.0","0.0","0.0","3","1","3","3","1"
"ENGL 120","2","0.9996","0.0","0.0","3","6","4","13","1"
"Physical & Natural Science","2","1.0","0.0","0.0","3","0","1","0","0"
"Physical & Natural Science Lab","2","1.0","0.0","0.0","1","0","1","0","0"
"ECON 105","2","1.0","0.0","0.0","3","0","1","0","0"
"Foreign Language","2","1.0","0.0","0.0","3","0","1","0","0"
"ENGL 219","3","0.9998","0.9998","0.0","3","0","3","2","2"
"Fine Arts","3","1.0","0.0","0.0","3","0","1","0","0"
"ECON 106","3","0.9982","0.9998","0.0","3","5","3","5","0"
"STAT 145","3","0.9972","0.9998","0.0","3","4","4","9","1"
"Elective","3","1.0","0.0","0.0","3","0","1","0","0"
"CS 150L","4","0.9994","1.0","0.0","3","1","2","1","0"
"MGMT 202","4","0.9982","0.0","0.0","3","8","4","7","0"
"Social & Behavioral Science","4","1.0","0.0","0.0","3","0","1","0","0"
"Elective","4","0.9996","0.0","0.0","3","0","1","0","0"
"MGMT 300","5","0.9982","1.0","0.0","3","2","4","8","2"
"MGMT 303","5","0.9986","0.9998","1.0","3","3","3","7","1"
"MGMT 306","5","0.9988","0.9998","0.0","3","2","4","8","2"
"MGMT 308","5","0.998","0.0","0.0","3","1","4","5","2"
"MGMT 340","5","0.9896","0.9996","0.0","3","2","4","3","1"
"MGMT 398","5","0.9996","0.0","0.0","1","0","1","0","0"
"MGMT 310","6","0.9888","0.9996","0.0","3","1","4","5","2"
"MGMT 322","6","0.9912","1.0","0.0","3","2","3","5","1"
"MGMT 326","6","0.9984","1.0","0.0","3","0","3","6","6"
"MGMT 341","6","0.9902","1.0","0.0","3","1","4","2","2"
"MGMT 346","6","0.9988","1.0","0.0","3","0","3","2","2"
"MGMT 450","7","0.991","0.9998","0.0","3","0","4","10","10"
"MGMT 343","7","0.9986","0.9998","0.0","3","0","1","0","0"
"Upper Divison Humanities","7","0.9932","0.9996","0.0","3","0","1","0","0"
"Elective","7","0.9918","0.9992","1.0","3","0","1","0","0"
"Elective","7","0.9918","0.9998","0.0","3","0","1","0","0"
"MGMT 328","8","0.9912","0.9996","1.0","3","1","3","1","1"
"MGMT 443","8","0.9542","0.9974","0.0","3","0","4","0","0"
"MGMT 449","8","0.961","0.9986","1.0","3","0","1","0","0"
"MGMT 498","8","0.96","0.9976","1.0","3","0","4","12","12"
"Elective","8","0.9544","0.9976","1.0","4","0","1","0","0"
