"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","65.0","6","0","6","0","0","12","0","12","0","0","6","0","0.43","0.74","0.9","0.96","0.99","3.9182"
"100.json","65.0","18","4","14","9","4","32","5","27","17","5","3","3","0.19","0.48","0.72","0.86","0.94","4.8682"
"101.json","65.0","22","6","16","14","6","38","8","30","28","8","3","4","0.11","0.37","0.63","0.8","0.9","5.2678"
"102.json","65.0","24","6","18","14","6","44","8","36","28","8","2","4","0.08","0.31","0.58","0.78","0.9","5.4516"
"103.json","65.0","26","8","18","19","8","47","11","36","39","11","2","5","0.08","0.3","0.56","0.76","0.88","5.5196"
"104.json","65.0","18","4","14","9","4","32","5","27","17","5","3","3","0.18","0.48","0.72","0.85","0.93","4.8914"
"105.json","65.0","24","6","18","14","6","44","8","36","28","8","2","4","0.07","0.31","0.58","0.78","0.89","5.4492"
"106.json","65.0","22","6","16","14","6","38","8","30","28","8","3","4","0.12","0.37","0.62","0.8","0.9","5.2748"
"107.json","65.0","26","8","18","19","8","47","11","36","39","11","2","5","0.07","0.3","0.57","0.77","0.88","5.529"
"108.json","65.0","22","6","16","14","6","41","8","33","28","8","2","4","0.13","0.39","0.64","0.81","0.91","5.1997627943899865"
"109.json","65.0","26","8","18","19","8","47","11","36","39","11","2","5","0.08","0.3","0.56","0.75","0.88","5.5378"
"10.json","65.0","11","2","9","4","2","23","4","19","10","4","5","2","0.28","0.62","0.82","0.92","0.96","4.4332"
"110.json","65.0","26","8","18","19","8","47","11","36","39","11","2","5","0.08","0.29","0.56","0.76","0.88","5.5326"
"111.json","65.0","28","10","18","24","10","50","14","36","50","14","2","6","0.08","0.27","0.53","0.73","0.86","5.6826"
"112.json","65.0","13","3","10","6","3","21","3","18","9","3","4","3","0.39","0.68","0.85","0.94","0.98","4.1006"
"113.json","65.0","21","6","15","14","6","35","7","28","26","7","3","4","0.15","0.42","0.67","0.82","0.91","5.0946"
"114.json","65.0","21","6","15","14","6","35","7","28","26","7","3","4","0.15","0.43","0.68","0.83","0.92","5.0728"
"115.json","65.0","26","9","17","22","9","45","11","34","43","11","2","5","0.1","0.33","0.57","0.76","0.87","5.4932"
"116.json","65.0","19","5","14","11","5","33","6","27","20","6","3","4","0.17","0.48","0.71","0.86","0.94","4.8834"
"117.json","65.0","23","7","16","17","7","39","9","30","33","9","3","5","0.12","0.36","0.61","0.79","0.89","5.3238"
"118.json","65.0","26","8","18","19","8","46","10","36","37","10","2","5","0.08","0.31","0.56","0.76","0.88","5.515897359999999"
"119.json","65.0","28","10","18","25","10","49","13","36","50","13","2","6","0.07","0.28","0.53","0.72","0.86","5.679126200000001"
