"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","45.0","6","0","6","0","0","12","0","12","0","0","6","0","0.1","0.29","0.51","0.68","0.81","5.851"
"100.json","45.0","18","4","14","9","4","32","5","27","17","5","3","3","0.03","0.13","0.28","0.45","0.61","7.2676"
"101.json","45.0","22","6","16","14","6","38","8","30","28","8","3","4","0.02","0.08","0.2","0.36","0.51","7.9388"
"102.json","45.0","24","6","18","14","6","44","8","36","28","8","2","4","0.01","0.06","0.17","0.31","0.47","8.2188"
"103.json","45.0","26","8","18","19","8","47","11","36","39","11","2","5","0.01","0.05","0.15","0.28","0.43","8.4522"
"104.json","45.0","18","4","14","9","4","32","5","27","17","5","3","3","0.03","0.13","0.28","0.45","0.6","7.3106"
"105.json","45.0","24","6","18","14","6","44","8","36","28","8","2","4","0.01","0.06","0.15","0.29","0.45","8.269"
"106.json","45.0","22","6","16","14","6","38","8","30","28","8","3","4","0.02","0.08","0.21","0.37","0.52","7.878"
"107.json","45.0","26","8","18","19","8","47","11","36","39","11","2","5","0.01","0.05","0.15","0.29","0.44","8.4144"
"108.json","45.0","22","6","16","14","6","41","8","33","28","8","2","4","0.02","0.09","0.21","0.36","0.52","7.8846"
"109.json","45.0","26","8","18","19","8","47","11","36","39","11","2","5","0.01","0.05","0.15","0.29","0.44","8.4074"
"10.json","45.0","11","2","9","4","2","23","4","19","10","4","5","2","0.05","0.2","0.39","0.57","0.71","6.5386"
"110.json","45.0","26","8","18","19","8","47","11","36","39","11","2","5","0.01","0.06","0.16","0.3","0.45","8.3664"
"111.json","45.0","28","10","18","24","10","50","14","36","50","14","2","6","0.01","0.05","0.13","0.26","0.41","8.6312"
"112.json","45.0","13","3","10","6","3","21","3","18","9","3","4","3","0.07","0.23","0.42","0.6","0.73","6.4182"
"113.json","45.0","21","6","15","14","6","35","7","28","26","7","3","4","0.02","0.11","0.25","0.39","0.54","7.7228"
"114.json","45.0","21","6","15","14","6","35","7","28","26","7","3","4","0.03","0.11","0.24","0.39","0.54","7.7354"
"115.json","45.0","26","9","17","22","9","45","11","34","43","11","2","5","0.01","0.07","0.17","0.31","0.45","8.3698"
"116.json","45.0","19","5","14","11","5","33","6","27","20","6","3","4","0.03","0.13","0.28","0.44","0.6","7.3572"
"117.json","45.0","23","7","16","17","7","39","9","30","33","9","3","5","0.02","0.08","0.2","0.34","0.49","8.1126"
"118.json","45.0","26","8","18","19","8","46","10","36","37","10","2","5","0.01","0.05","0.15","0.28","0.43","8.4188"
"119.json","45.0","28","10","18","25","10","49","13","36","50","13","2","6","0.01","0.05","0.13","0.25","0.39","8.7678"
"11.json","45.0","13","3","10","6","3","28","6","22","15","6","4","3","0.04","0.16","0.32","0.5","0.65","6.923"
"120.json","45.0","19","5","14","11","5","33","6","27","20","6","3","4","0.03","0.12","0.27","0.44","0.6","7.3622"
"121.json","45.0","26","8","18","19","8","46","10","36","37","10","2","5","0.01","0.06","0.15","0.28","0.43","8.417"
"122.json","45.0","23","7","16","17","7","39","9","30","33","9","3","5","0.01","0.08","0.19","0.33","0.48","8.1152"
"123.json","45.0","28","10","18","25","10","49","13","36","50","13","2","6","0.01","0.05","0.14","0.27","0.4","8.6644"
"124.json","45.0","23","7","16","16","7","42","9","33","31","9","2","5","0.02","0.09","0.22","0.37","0.52","7.8422"
"125.json","45.0","27","9","18","22","9","48","12","36","44","12","2","6","0.01","0.05","0.14","0.27","0.41","8.5734"
"126.json","45.0","27","9","18","22","9","48","12","36","44","12","2","6","0.01","0.05","0.14","0.27","0.41","8.646"
"127.json","45.0","29","11","18","28","11","51","15","36","57","15","2","7","0.01","0.05","0.13","0.25","0.38","8.8614"
"128.json","45.0","9","1","8","2","1","16","1","15","3","1","5","1","0.09","0.27","0.48","0.65","0.79","6.0104"
"129.json","45.0","12","2","10","4","2","23","3","20","8","3","4","2","0.09","0.25","0.44","0.62","0.76","6.2216"
"12.json","45.0","11","2","9","4","2","24","4","20","10","4","4","2","0.09","0.26","0.46","0.63","0.76","6.1814"
"130.json","45.0","12","2","10","4","2","23","3","20","8","3","4","2","0.08","0.25","0.46","0.63","0.75","6.1736"
"131.json","45.0","14","3","11","6","3","28","5","23","13","5","3","3","0.08","0.24","0.43","0.6","0.73","6.3436"
"132.json","45.0","15","3","12","7","3","28","4","24","14","4","4","2","0.04","0.15","0.31","0.49","0.63","7.0598"
"133.json","45.0","17","4","13","9","4","32","6","26","19","6","4","3","0.03","0.14","0.3","0.47","0.62","7.2148"
"134.json","45.0","18","4","14","9","4","35","6","29","19","6","3","3","0.03","0.14","0.28","0.45","0.61","7.2666"
"135.json","45.0","19","5","14","11","5","37","8","29","24","8","3","4","0.03","0.13","0.28","0.45","0.59","7.3984"
"136.json","45.0","15","3","12","7","3","28","4","24","14","4","4","2","0.04","0.17","0.33","0.49","0.64","7.0238"
"137.json","45.0","18","4","14","9","4","35","6","29","19","6","3","3","0.03","0.13","0.28","0.45","0.61","7.3048"
"138.json","45.0","17","4","13","9","4","32","6","26","19","6","4","3","0.04","0.15","0.3","0.46","0.62","7.1936"
"139.json","45.0","19","5","14","11","5","37","8","29","24","8","3","4","0.03","0.13","0.28","0.44","0.59","7.4088"
"13.json","45.0","13","3","10","6","3","28","6","22","15","6","4","3","0.05","0.19","0.38","0.55","0.7","6.661384599999999"
"140.json","45.0","19","5","14","12","5","37","7","30","25","7","3","3","0.03","0.11","0.25","0.41","0.56","7.648"
"141.json","45.0","21","6","15","14","6","41","9","32","30","9","3","4","0.02","0.11","0.24","0.4","0.55","7.6766"
"142.json","45.0","21","6","15","14","6","41","9","32","30","9","3","4","0.02","0.1","0.23","0.39","0.55","7.6782"
"143.json","45.0","22","7","15","16","7","43","11","32","35","11","3","5","0.03","0.11","0.23","0.38","0.53","7.8168"
"144.json","45.0","12","2","10","4","2","20","2","18","6","2","4","2","0.09","0.25","0.43","0.61","0.74","6.28603628"
"145.json","45.0","18","4","14","9","4","32","5","27","17","5","3","3","0.03","0.12","0.27","0.44","0.59","7.3728"
"146.json","45.0","18","4","14","9","4","32","5","27","17","5","3","3","0.03","0.13","0.27","0.44","0.6","7.3832"
