"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","62.5","6","0","6","0","0","12","0","12","0","0","6","0","0.38","0.69","0.87","0.95","0.98","4.0914"
"100.json","62.5","18","4","14","9","4","32","5","27","17","5","3","3","0.16","0.44","0.67","0.82","0.91","5.0868"
"101.json","62.5","22","6","16","14","6","38","8","30","28","8","3","4","0.09","0.32","0.57","0.75","0.88","5.5116"
"102.json","62.5","24","6","18","14","6","44","8","36","28","8","2","4","0.06","0.26","0.51","0.73","0.86","5.7168"
"103.json","62.5","26","8","18","19","8","47","11","36","39","11","2","5","0.06","0.24","0.49","0.69","0.83","5.8556"
"104.json","62.5","18","4","14","9","4","32","5","27","17","5","3","3","0.16","0.43","0.65","0.82","0.91","5.1036"
"105.json","62.5","24","6","18","14","6","44","8","36","28","8","2","4","0.07","0.29","0.54","0.74","0.86","5.6422"
"106.json","62.5","22","6","16","14","6","38","8","30","28","8","3","4","0.09","0.32","0.57","0.76","0.87","5.506"
"107.json","62.5","26","8","18","19","8","47","11","36","39","11","2","5","0.06","0.26","0.49","0.7","0.84","5.799"
"108.json","62.5","22","6","16","14","6","41","8","33","28","8","2","4","0.1","0.34","0.59","0.77","0.88","5.4314"
"109.json","62.5","26","8","18","19","8","47","11","36","39","11","2","5","0.06","0.24","0.48","0.69","0.83","5.8852"
"10.json","62.5","11","2","9","4","2","23","4","19","10","4","5","2","0.24","0.56","0.78","0.9","0.95","4.6192"
"110.json","62.5","26","8","18","19","8","47","11","36","39","11","2","5","0.06","0.26","0.5","0.71","0.84","5.7742"
"111.json","62.5","28","10","18","24","10","50","14","36","50","14","2","6","0.06","0.24","0.47","0.68","0.82","5.916"
"112.json","62.5","13","3","10","6","3","21","3","18","9","3","4","3","0.32","0.62","0.82","0.91","0.96","4.3404"
"113.json","62.5","21","6","15","14","6","35","7","28","26","7","3","4","0.13","0.37","0.61","0.79","0.89","5.316"
"114.json","62.5","21","6","15","14","6","35","7","28","26","7","3","4","0.12","0.36","0.59","0.76","0.88","5.3868"
"115.json","62.5","26","9","17","22","9","45","11","34","43","11","2","5","0.08","0.28","0.51","0.71","0.84","5.7524"
"116.json","62.5","19","5","14","11","5","33","6","27","20","6","3","4","0.16","0.42","0.66","0.82","0.91","5.104"
"117.json","62.5","23","7","16","17","7","39","9","30","33","9","3","5","0.09","0.32","0.55","0.74","0.86","5.568715666327999"
"118.json","62.5","26","8","18","19","8","46","10","36","37","10","2","5","0.06","0.25","0.49","0.7","0.84","5.8286"
"119.json","62.5","28","10","18","25","10","49","13","36","50","13","2","6","0.06","0.24","0.47","0.68","0.82","5.9368"
"11.json","62.5","13","3","10","6","3","28","6","22","15","6","4","3","0.18","0.47","0.7","0.85","0.93","4.9268"
"120.json","62.5","19","5","14","11","5","33","6","27","20","6","3","4","0.17","0.43","0.67","0.82","0.92","5.0712"
"121.json","62.5","26","8","18","19","8","46","10","36","37","10","2","5","0.06","0.25","0.49","0.7","0.84","5.809"
"122.json","62.5","23","7","16","17","7","39","9","30","33","9","3","5","0.08","0.3","0.55","0.74","0.85","5.6102"
"123.json","62.5","28","10","18","25","10","49","13","36","50","13","2","6","0.06","0.23","0.46","0.66","0.8","6.01486652"
"124.json","62.5","23","7","16","16","7","42","9","33","31","9","2","5","0.11","0.34","0.58","0.76","0.88","5.4488"
"125.json","62.5","27","9","18","22","9","48","12","36","44","12","2","6","0.06","0.25","0.49","0.69","0.83","5.8738"
"126.json","62.5","27","9","18","22","9","48","12","36","44","12","2","6","0.06","0.24","0.48","0.69","0.83","5.8916"
"127.json","62.5","29","11","18","28","11","51","15","36","57","15","2","7","0.05","0.22","0.44","0.65","0.8","6.0494"
"128.json","62.5","9","1","8","2","1","16","1","15","3","1","5","1","0.35","0.67","0.85","0.93","0.97","4.189"
"129.json","62.5","12","2","10","4","2","23","3","20","8","3","4","2","0.33","0.63","0.82","0.92","0.96","4.302"
