"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","55.0","6","0","6","0","0","12","0","12","0","0","6","0","0.22","0.51","0.73","0.86","0.93","4.7752"
"100.json","55.0","18","4","14","9","4","32","5","27","17","5","3","3","0.09","0.28","0.49","0.67","0.8","5.9026"
"101.json","55.0","22","6","16","14","6","38","8","30","28","8","3","4","0.04","0.2","0.41","0.58","0.73","6.4055998"
"102.json","55.0","24","6","18","14","6","44","8","36","28","8","2","4","0.03","0.15","0.35","0.54","0.71","6.6242"
"103.json","55.0","26","8","18","19","8","47","11","36","39","11","2","5","0.03","0.14","0.32","0.52","0.69","6.7730301200000005"
"104.json","55.0","18","4","14","9","4","32","5","27","17","5","3","3","0.09","0.28","0.5","0.68","0.81","5.8658"
"105.json","55.0","24","6","18","14","6","44","8","36","28","8","2","4","0.03","0.15","0.34","0.56","0.72","6.5936"
"106.json","55.0","22","6","16","14","6","38","8","30","28","8","3","4","0.04","0.19","0.41","0.61","0.76","6.334199728146871"
"107.json","55.0","26","8","18","19","8","47","11","36","39","11","2","5","0.03","0.14","0.32","0.52","0.69","6.7574"
"108.json","55.0","22","6","16","14","6","41","8","33","28","8","2","4","0.05","0.22","0.42","0.61","0.76","6.2526"
"109.json","55.0","26","8","18","19","8","47","11","36","39","11","2","5","0.03","0.14","0.31","0.51","0.69","6.7962"
"10.json","55.0","11","2","9","4","2","23","4","19","10","4","5","2","0.14","0.39","0.63","0.79","0.89","5.2962"
"110.json","55.0","26","8","18","19","8","47","11","36","39","11","2","5","0.03","0.15","0.33","0.52","0.68","6.7338"
"111.json","55.0","28","10","18","24","10","50","14","36","50","14","2","6","0.02","0.12","0.29","0.49","0.66","6.9271128"
"112.json","55.0","13","3","10","6","3","21","3","18","9","3","4","3","0.2","0.45","0.67","0.81","0.9","5.036"
"113.json","55.0","21","6","15","14","6","35","7","28","26","7","3","4","0.07","0.23","0.45","0.64","0.78","6.1354"
"114.json","55.0","21","6","15","14","6","35","7","28","26","7","3","4","0.06","0.23","0.43","0.62","0.77","6.2136"
