"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","70.0","6","0","6","0","0","12","0","12","0","0","6","0","0.55","0.83","0.94","0.98","0.99","3.5962"
"100.json","70.0","18","4","14","9","4","32","5","27","17","5","3","3","0.27","0.6","0.81","0.92","0.96","4.4708"
"101.json","70.0","22","6","16","14","6","38","8","30","28","8","3","4","0.17","0.48","0.73","0.88","0.95","4.824"
"102.json","70.0","24","6","18","14","6","44","8","36","28","8","2","4","0.12","0.42","0.7","0.86","0.94","4.9976"
"103.json","70.0","26","8","18","19","8","47","11","36","39","11","2","5","0.12","0.39","0.66","0.84","0.94","5.1058"
"104.json","70.0","18","4","14","9","4","32","5","27","17","5","3","3","0.26","0.6","0.81","0.92","0.97","4.4724"
"105.json","70.0","24","6","18","14","6","44","8","36","28","8","2","4","0.12","0.43","0.71","0.87","0.94","4.9742"
"106.json","70.0","22","6","16","14","6","38","8","30","28","8","3","4","0.16","0.46","0.72","0.87","0.95","4.873"
"107.json","70.0","26","8","18","19","8","47","11","36","39","11","2","5","0.11","0.4","0.68","0.85","0.93","5.0664"
"108.json","70.0","22","6","16","14","6","41","8","33","28","8","2","4","0.19","0.51","0.75","0.89","0.95","4.74858244"
"109.json","70.0","26","8","18","19","8","47","11","36","39","11","2","5","0.12","0.4","0.66","0.84","0.93","5.0974"
"10.json","70.0","11","2","9","4","2","23","4","19","10","4","5","2","0.35","0.71","0.89","0.96","0.98","4.1116"
"110.json","70.0","26","8","18","19","8","47","11","36","39","11","2","5","0.12","0.41","0.68","0.85","0.93","5.0644"
"111.json","70.0","28","10","18","24","10","50","14","36","50","14","2","6","0.12","0.39","0.65","0.83","0.92","5.1418"
"112.json","70.0","13","3","10","6","3","21","3","18","9","3","4","3","0.5","0.78","0.91","0.97","0.99","3.7302"
"113.json","70.0","21","6","15","14","6","35","7","28","26","7","3","4","0.22","0.52","0.77","0.89","0.96","4.6778"
"114.json","70.0","21","6","15","14","6","35","7","28","26","7","3","4","0.22","0.53","0.76","0.89","0.95","4.683925698888"
"115.json","70.0","26","9","17","22","9","45","11","34","43","11","2","5","0.15","0.43","0.67","0.84","0.93","5.0222"
"116.json","70.0","19","5","14","11","5","33","6","27","20","6","3","4","0.26","0.59","0.81","0.92","0.97","4.4806"
"117.json","70.0","23","7","16","17","7","39","9","30","33","9","3","5","0.16","0.46","0.72","0.87","0.94","4.8998"
"118.json","70.0","26","8","18","19","8","46","10","36","37","10","2","5","0.11","0.4","0.67","0.84","0.93","5.0798"
"119.json","70.0","28","10","18","25","10","49","13","36","50","13","2","6","0.12","0.39","0.65","0.83","0.92","5.1336"
"11.json","70.0","13","3","10","6","3","28","6","22","15","6","4","3","0.29","0.64","0.85","0.94","0.98","4.3104"
"120.json","70.0","19","5","14","11","5","33","6","27","20","6","3","4","0.26","0.59","0.8","0.91","0.97","4.4864"
"121.json","70.0","26","8","18","19","8","46","10","36","37","10","2","5","0.12","0.41","0.68","0.84","0.93","5.0542"
"122.json","70.0","23","7","16","17","7","39","9","30","33","9","3","5","0.17","0.47","0.72","0.87","0.94","4.8734"
"123.json","70.0","28","10","18","25","10","49","13","36","50","13","2","6","0.12","0.38","0.64","0.82","0.92","5.185"
"124.json","70.0","23","7","16","16","7","42","9","33","31","9","2","5","0.18","0.49","0.73","0.88","0.96","4.7868"
"125.json","70.0","27","9","18","22","9","48","12","36","44","12","2","6","0.12","0.4","0.67","0.84","0.93","5.08856212"
