"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","42.5","6","0","6","0","0","12","0","12","0","0","6","0","0.08","0.24","0.45","0.63","0.76","6.2172"
"100.json","42.5","18","4","14","9","4","32","5","27","17","5","3","3","0.02","0.11","0.24","0.39","0.53","7.787"
"101.json","42.5","22","6","16","14","6","38","8","30","28","8","3","4","0.01","0.07","0.18","0.32","0.46","8.3718"
"102.json","42.5","24","6","18","14","6","44","8","36","28","8","2","4","0.01","0.05","0.13","0.26","0.41","8.6696"
"103.json","42.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.04","0.12","0.24","0.38","8.917"
"104.json","42.5","18","4","14","9","4","32","5","27","17","5","3","3","0.02","0.1","0.24","0.4","0.55","7.752357399999999"
"105.json","42.5","24","6","18","14","6","44","8","36","28","8","2","4","0.01","0.05","0.14","0.27","0.4","8.6882"
"106.json","42.5","22","6","16","14","6","38","8","30","28","8","3","4","0.01","0.06","0.17","0.3","0.45","8.3846"
"107.json","42.5","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.04","0.11","0.24","0.38","8.9334"
"108.json","42.5","22","6","16","14","6","41","8","33","28","8","2","4","0.02","0.07","0.18","0.31","0.46","8.3536"
"109.json","42.5","26","8","18","19","8","47","11","36","39","11","2","5","0.01","0.04","0.12","0.23","0.38","8.9066"
"10.json","42.5","11","2","9","4","2","23","4","19","10","4","5","2","0.04","0.17","0.32","0.5","0.65","6.9146"
"110.json","42.5","26","8","18","19","8","47","11","36","39","11","2","5","0.01","0.04","0.12","0.24","0.38","8.9448"
"111.json","42.5","28","10","18","24","10","50","14","36","50","14","2","6","0.01","0.04","0.11","0.22","0.34","9.1816"
"112.json","42.5","13","3","10","6","3","21","3","18","9","3","4","3","0.06","0.19","0.36","0.53","0.67","6.7772"
"113.json","42.5","21","6","15","14","6","35","7","28","26","7","3","4","0.02","0.08","0.19","0.33","0.47","8.2642"
"114.json","42.5","21","6","15","14","6","35","7","28","26","7","3","4","0.02","0.08","0.19","0.33","0.46","8.3102"
"115.json","42.5","26","9","17","22","9","45","11","34","43","11","2","5","0.01","0.05","0.13","0.24","0.37","9.0518"
"116.json","42.5","19","5","14","11","5","33","6","27","20","6","3","4","0.03","0.1","0.23","0.38","0.52","7.8476"
"117.json","42.5","23","7","16","17","7","39","9","30","33","9","3","5","0.01","0.06","0.16","0.29","0.43","8.5204"
"118.json","42.5","26","8","18","19","8","46","10","36","37","10","2","5","0.01","0.04","0.11","0.23","0.37","8.9818"
"119.json","42.5","28","10","18","25","10","49","13","36","50","13","2","6","0.01","0.04","0.1","0.2","0.33","9.2866"
"11.json","42.5","13","3","10","6","3","28","6","22","15","6","4","3","0.03","0.13","0.29","0.46","0.62","7.243582920000001"
"120.json","42.5","19","5","14","11","5","33","6","27","20","6","3","4","0.02","0.1","0.24","0.39","0.53","7.8076"
"121.json","42.5","26","8","18","19","8","46","10","36","37","10","2","5","0.01","0.04","0.12","0.24","0.37","8.9068"
