"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","85.0","6","0","6","0","0","12","0","12","0","0","6","0","0.87","0.98","1.0","1.0","1.0","2.7696"
"100.json","85.0","18","4","14","9","4","32","5","27","17","5","3","3","0.57","0.88","0.97","0.99","1.0","3.5926"
"101.json","85.0","22","6","16","14","6","38","8","30","28","8","3","4","0.44","0.8","0.95","0.99","1.0","3.8262"
"102.json","85.0","24","6","18","14","6","44","8","36","28","8","2","4","0.37","0.8","0.95","0.99","1.0","3.8974"
"103.json","85.0","26","8","18","19","8","47","11","36","39","11","2","5","0.38","0.78","0.94","0.99","1.0","3.9283799167675135"
"104.json","85.0","18","4","14","9","4","32","5","27","17","5","3","3","0.57","0.88","0.97","0.99","1.0","3.5792"
"105.json","85.0","24","6","18","14","6","44","8","36","28","8","2","4","0.37","0.79","0.95","0.99","1.0","3.9102"
"106.json","85.0","22","6","16","14","6","38","8","30","28","8","3","4","0.45","0.81","0.95","0.99","1.0","3.8034"
"107.json","85.0","26","8","18","19","8","47","11","36","39","11","2","5","0.37","0.78","0.94","0.99","1.0","3.9168"
"108.json","85.0","22","6","16","14","6","41","8","33","28","8","2","4","0.49","0.83","0.96","0.99","1.0","3.729"
"109.json","85.0","26","8","18","19","8","47","11","36","39","11","2","5","0.38","0.78","0.94","0.99","1.0","3.9093856759833536"
"10.json","85.0","11","2","9","4","2","23","4","19","10","4","5","2","0.68","0.92","0.99","1.0","1.0","3.4152"
"110.json","85.0","26","8","18","19","8","47","11","36","39","11","2","5","0.39","0.78","0.94","0.98","1.0","3.9180246"
"111.json","85.0","28","10","18","24","10","50","14","36","50","14","2","6","0.38","0.77","0.94","0.98","1.0","3.9306"
"112.json","85.0","13","3","10","6","3","21","3","18","9","3","4","3","0.83","0.96","0.99","1.0","1.0","2.8424"
"113.json","85.0","21","6","15","14","6","35","7","28","26","7","3","4","0.52","0.84","0.96","0.99","1.0","3.686"
"114.json","85.0","21","6","15","14","6","35","7","28","26","7","3","4","0.52","0.84","0.96","0.99","1.0","3.697"
"115.json","85.0","26","9","17","22","9","45","11","34","43","11","2","5","0.44","0.8","0.94","0.98","1.0","3.84279764"
"116.json","85.0","19","5","14","11","5","33","6","27","20","6","3","4","0.57","0.87","0.97","0.99","1.0","3.5954"
"117.json","85.0","23","7","16","17","7","39","9","30","33","9","3","5","0.43","0.8","0.95","0.99","1.0","3.83431372"
"118.json","85.0","26","8","18","19","8","46","10","36","37","10","2","5","0.37","0.78","0.94","0.98","1.0","3.9258"
"119.json","85.0","28","10","18","25","10","49","13","36","50","13","2","6","0.37","0.75","0.93","0.98","1.0","3.9798"
"11.json","85.0","13","3","10","6","3","28","6","22","15","6","4","3","0.59","0.9","0.98","0.99","1.0","3.5448"
"120.json","85.0","19","5","14","11","5","33","6","27","20","6","3","4","0.58","0.88","0.97","0.99","1.0","3.5875174400000005"
"121.json","85.0","26","8","18","19","8","46","10","36","37","10","2","5","0.38","0.77","0.94","0.99","1.0","3.923"
"122.json","85.0","23","7","16","17","7","39","9","30","33","9","3","5","0.45","0.81","0.95","0.99","1.0","3.8096"
"123.json","85.0","28","10","18","25","10","49","13","36","50","13","2","6","0.36","0.76","0.93","0.98","1.0","3.9678"
"124.json","85.0","23","7","16","16","7","42","9","33","31","9","2","5","0.5","0.84","0.96","0.99","1.0","3.7156"
