"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","15.0","6","0","6","0","0","12","0","12","0","0","6","0","0.0","0.0","0.0","0.01","0.03","18.504"
"100.json","15.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.01","0.01","22.9516"
"101.json","15.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.0","0.0","0.01","24.6816"
"102.json","15.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.0","0.0","0.01","25.6344"
"103.json","15.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","26.4552"
"104.json","15.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.0","0.0","0.01","0.02","22.8506"
"105.json","15.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.0","0.0","0.01","25.5828"
"106.json","15.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.0","0.0","0.01","25.0458"
"107.json","15.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.01","26.447"
"108.json","15.0","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.0","0.0","0.0","0.01","24.8754"
"109.json","15.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.01","26.4494"
"10.json","15.0","11","2","9","4","2","23","4","19","10","4","5","2","0.0","0.0","0.0","0.01","0.02","20.296"
"110.json","15.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.0","0.0","0.0","26.5396"
"111.json","15.0","28","10","18","24","10","50","14","36","50","14","2","6","0.0","0.0","0.0","0.0","0.0","27.4664"
"112.json","15.0","13","3","10","6","3","21","3","18","9","3","4","3","0.0","0.0","0.01","0.01","0.02","20.3966"
"113.json","15.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.0","0.01","24.3776"
"114.json","15.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.0","0.0","0.01","0.01","24.5054"
"115.json","15.0","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.0","0.0","0.0","0.0","27.0286"
"116.json","15.0","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.0","0.0","0.01","0.02","23.2074"
"117.json","15.0","23","7","16","17","7","39","9","30","33","9","3","5","0.0","0.0","0.0","0.0","0.01","25.6328"
"118.json","15.0","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.0","0.0","0.0","26.7704"
"119.json","15.0","28","10","18","25","10","49","13","36","50","13","2","6","0.0","0.0","0.0","0.0","0.0","27.8984"
"11.json","15.0","13","3","10","6","3","28","6","22","15","6","4","3","0.0","0.0","0.0","0.01","0.02","21.38597012"
"120.json","15.0","19","5","14","11","5","33","6","27","20","6","3","4","0.0","0.0","0.0","0.01","0.02","23.5172"
"121.json","15.0","26","8","18","19","8","46","10","36","37","10","2","5","0.0","0.0","0.0","0.0","0.0","26.6802"
