"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","25.0","6","0","6","0","0","12","0","12","0","0","6","0","0.0","0.02","0.06","0.14","0.23","10.9488"
"100.json","25.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.03","0.07","0.12","13.5802"
"101.json","25.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.02","0.04","0.07","14.726"
"102.json","25.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.01","0.03","0.06","15.3486"
"103.json","25.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.03","0.05","15.842"
"104.json","25.0","18","4","14","9","4","32","5","27","17","5","3","3","0.0","0.01","0.03","0.07","0.12","13.5642"
"105.json","25.0","24","6","18","14","6","44","8","36","28","8","2","4","0.0","0.0","0.01","0.03","0.06","15.1952"
"106.json","25.0","22","6","16","14","6","38","8","30","28","8","3","4","0.0","0.0","0.02","0.05","0.08","14.7732"
"107.json","25.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.02","0.05","15.7778"
"108.json","25.0","22","6","16","14","6","41","8","33","28","8","2","4","0.0","0.0","0.02","0.04","0.08","14.7364"
"109.json","25.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.02","0.05","15.7068"
"10.json","25.0","11","2","9","4","2","23","4","19","10","4","5","2","0.0","0.01","0.05","0.1","0.17","12.049"
"110.json","25.0","26","8","18","19","8","47","11","36","39","11","2","5","0.0","0.0","0.01","0.02","0.05","15.8798"
"111.json","25.0","28","10","18","24","10","50","14","36","50","14","2","6","0.0","0.0","0.01","0.02","0.05","16.2512"
"112.json","25.0","13","3","10","6","3","21","3","18","9","3","4","3","0.0","0.02","0.05","0.11","0.19","12.071"
"113.json","25.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.02","0.05","0.09","14.5356"
"114.json","25.0","21","6","15","14","6","35","7","28","26","7","3","4","0.0","0.01","0.02","0.05","0.09","14.5012"
"115.json","25.0","26","9","17","22","9","45","11","34","43","11","2","5","0.0","0.0","0.01","0.03","0.06","15.7184"
