"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","67.5","6","0","6","0","0","12","0","12","0","0","6","0","0.49","0.79","0.93","0.98","0.99","3.7425318687734093"
"100.json","67.5","18","4","14","9","4","32","5","27","17","5","3","3","0.22","0.54","0.78","0.89","0.95","4.6398"
"101.json","67.5","22","6","16","14","6","38","8","30","28","8","3","4","0.14","0.42","0.67","0.84","0.93","5.063"
"102.json","67.5","24","6","18","14","6","44","8","36","28","8","2","4","0.1","0.37","0.65","0.82","0.92","5.209"
"103.json","67.5","26","8","18","19","8","47","11","36","39","11","2","5","0.1","0.35","0.62","0.8","0.91","5.2988"
"104.json","67.5","18","4","14","9","4","32","5","27","17","5","3","3","0.22","0.54","0.77","0.89","0.95","4.6584"
"105.json","67.5","24","6","18","14","6","44","8","36","28","8","2","4","0.1","0.37","0.64","0.83","0.93","5.1774"
"106.json","67.5","22","6","16","14","6","38","8","30","28","8","3","4","0.14","0.43","0.69","0.85","0.93","5.0102"
"107.json","67.5","26","8","18","19","8","47","11","36","39","11","2","5","0.09","0.35","0.61","0.79","0.91","5.3124"
"108.json","67.5","22","6","16","14","6","41","8","33","28","8","2","4","0.16","0.45","0.71","0.86","0.93","4.9506"
"109.json","67.5","26","8","18","19","8","47","11","36","39","11","2","5","0.1","0.36","0.62","0.81","0.91","5.2778"
"10.json","67.5","11","2","9","4","2","23","4","19","10","4","5","2","0.32","0.66","0.86","0.94","0.98","4.253"
"110.json","67.5","26","8","18","19","8","47","11","36","39","11","2","5","0.09","0.35","0.61","0.8","0.9","5.3188"
"111.json","67.5","28","10","18","24","10","50","14","36","50","14","2","6","0.1","0.33","0.6","0.78","0.89","5.3942"
"112.json","67.5","13","3","10","6","3","21","3","18","9","3","4","3","0.44","0.74","0.89","0.96","0.98","3.9034"
"113.json","67.5","21","6","15","14","6","35","7","28","26","7","3","4","0.17","0.46","0.71","0.85","0.93","4.9292"
"114.json","67.5","21","6","15","14","6","35","7","28","26","7","3","4","0.18","0.47","0.72","0.87","0.94","4.8576"
"115.json","67.5","26","9","17","22","9","45","11","34","43","11","2","5","0.13","0.38","0.63","0.81","0.91","5.2182"
"116.json","67.5","19","5","14","11","5","33","6","27","20","6","3","4","0.23","0.55","0.77","0.9","0.96","4.6214"
"117.json","67.5","23","7","16","17","7","39","9","30","33","9","3","5","0.13","0.4","0.65","0.83","0.92","5.127"
"118.json","67.5","26","8","18","19","8","46","10","36","37","10","2","5","0.1","0.36","0.62","0.81","0.91","5.2696"
"119.json","67.5","28","10","18","25","10","49","13","36","50","13","2","6","0.09","0.33","0.58","0.78","0.89","5.4178"
"11.json","67.5","13","3","10","6","3","28","6","22","15","6","4","3","0.25","0.59","0.81","0.92","0.97","4.494"
"120.json","67.5","19","5","14","11","5","33","6","27","20","6","3","4","0.23","0.53","0.77","0.89","0.95","4.667"
"121.json","67.5","26","8","18","19","8","46","10","36","37","10","2","5","0.09","0.35","0.62","0.8","0.9","5.3164"
"122.json","67.5","23","7","16","17","7","39","9","30","33","9","3","5","0.13","0.4","0.65","0.82","0.92","5.1438"
"123.json","67.5","28","10","18","25","10","49","13","36","50","13","2","6","0.1","0.33","0.58","0.76","0.88","5.4464"
"124.json","67.5","23","7","16","16","7","42","9","33","31","9","2","5","0.16","0.45","0.7","0.86","0.94","4.939"
"125.json","67.5","27","9","18","22","9","48","12","36","44","12","2","6","0.09","0.34","0.6","0.79","0.9","5.3446"
"126.json","67.5","27","9","18","22","9","48","12","36","44","12","2","6","0.09","0.33","0.6","0.79","0.9","5.3524"
"127.json","67.5","29","11","18","28","11","51","15","36","57","15","2","7","0.09","0.31","0.57","0.76","0.88","5.471857559999999"
"128.json","67.5","9","1","8","2","1","16","1","15","3","1","5","1","0.47","0.77","0.91","0.97","0.99","3.80299724"
