"name","difficulty","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"147.json","0.0","22","6","16","2.0","2","41","34","4","0.0314","0.1366","0.3052","0.4836","0.6374","7.022"
"148.json","0.0","18","4","14","1.0","3","32","30","3","0.055","0.1996","0.408","0.5896","0.7308","6.4474"
"149.json","0.0","22","6","16","2.0","3","38","34","4","0.025","0.1304","0.295","0.4728","0.6276","7.1068158"
"15.json","0.0","14","4","10","0.0","4","30","26","4","0.0648","0.2418","0.4524","0.6334","0.774","6.149"
"150.json","0.0","24","6","18","2.0","2","44","36","4","0.0134","0.0974","0.2392","0.4232","0.5954","7.3402"
"151.json","0.0","26","8","18","3.0","2","47","38","5","0.0168","0.0826","0.2198","0.3992","0.5644","7.5144"
"152.json","0.0","18","4","14","1.0","3","32","30","3","0.058","0.202","0.3948","0.584","0.7168","6.5004"
"153.json","0.0","24","6","18","2.0","2","44","36","4","0.019","0.1032","0.2546","0.4426","0.609","7.2478"
"154.json","0.0","22","6","16","2.0","3","38","34","4","0.0264","0.126","0.302","0.4764","0.6306","7.091421363159999"
"155.json","0.0","26","8","18","3.0","2","47","38","5","0.0154","0.0896","0.2386","0.4006","0.5666","7.45570368"
"156.json","0.0","22","6","16","2.0","2","41","34","4","0.0302","0.137","0.3074","0.4954","0.6482","7.0004"
"157.json","0.0","26","8","18","3.0","2","47","38","5","0.0168","0.0896","0.2222","0.3944","0.5568","7.5266"
"158.json","0.0","26","8","18","3.0","2","47","38","5","0.0168","0.0948","0.2358","0.412","0.575","7.4596"
"159.json","0.0","28","10","18","4.0","2","50","40","6","0.012","0.0706","0.201","0.3692","0.5332","7.705"
"16.json","0.0","9","1","8","0.0","5","16","21","1","0.1496","0.3818","0.598","0.7606","0.858","5.38448244"
"160.json","0.0","11","2","9","0.0","5","18","23","2","0.1338","0.342","0.5644","0.7354","0.848","5.5397023999999995"
"161.json","0.0","14","3","11","0.0","4","25","26","3","0.127","0.3288","0.538","0.7154","0.8282","5.6812"
"162.json","0.0","14","3","11","0.0","4","25","26","3","0.1232","0.327","0.5566","0.7168","0.8266","5.6526"
"163.json","0.0","16","4","12","0.0","3","30","28","4","0.113","0.2948","0.4908","0.677","0.7966","5.8818"
"164.json","0.0","19","5","14","2.0","4","32","31","3","0.046","0.1684","0.346","0.5248","0.6676","6.8214"
"165.json","0.0","21","6","15","2.0","4","36","33","4","0.0348","0.1522","0.3198","0.5002","0.65","6.93778612"
"166.json","0.0","22","6","16","2.0","3","39","34","4","0.0304","0.1406","0.3084","0.4866","0.6476","6.99"
"167.json","0.0","23","7","16","2.0","3","41","35","5","0.0344","0.133","0.299","0.4816","0.6308","7.0732"
"168.json","0.0","19","5","14","2.0","4","32","31","3","0.0408","0.1636","0.3446","0.5154","0.674","6.8458"
"169.json","0.0","22","6","16","2.0","3","39","34","4","0.0326","0.1462","0.3144","0.4902","0.652","6.9496"
"17.json","0.0","15","3","12","1.0","4","28","27","2","0.0642","0.235","0.4286","0.6114","0.7504","6.3016"
"170.json","0.0","21","6","15","2.0","4","36","33","4","0.0354","0.1534","0.319","0.4948","0.6556","6.9544"
"171.json","0.0","23","7","16","2.0","3","41","35","5","0.0338","0.144","0.3104","0.4922","0.6494","6.983"
"172.json","0.0","24","8","16","4.0","3","42","36","4","0.028","0.1242","0.2764","0.4422","0.5958","7.3342"
"173.json","0.0","26","9","17","4.0","3","46","38","5","0.0236","0.1094","0.2492","0.419","0.5754","7.4112"
"174.json","0.0","26","9","17","4.0","3","46","38","5","0.0264","0.107","0.2522","0.42","0.5808","7.4248"
"175.json","0.0","27","10","17","4.0","3","48","39","6","0.0198","0.1034","0.2382","0.402","0.5702","7.4472"
"176.json","0.0","13","3","10","0.0","4","21","25","3","0.127","0.3434","0.5542","0.7268","0.8444","5.6046"
"177.json","0.0","19","5","14","1.0","3","33","31","4","0.0496","0.1992","0.3838","0.57","0.7086","6.560916022687999"
