"combinations","r2"
"complexity,inverseDelay,centrality,timeComp1","0.9686910945450629"
"complexity,inverseDelay,free,timeComp1","0.968893437280173"
"blocking,delay,inverseDelay,centrality","0.970862362494689"
"blocking,delay,inverseDelay,free","0.9750289281925077"
"blocking,delay,inverseDelay,timeComp1","0.9702328446414021"
"blocking,delay,centrality,free","0.9732253031765203"
"blocking,delay,centrality,timeComp1","0.9729054787413842"
"blocking,delay,free,timeComp1","0.975392908288012"
"blocking,inverseDelay,centrality,free","0.9499023240204825"
"blocking,inverseDelay,centrality,timeComp1","0.9707951610005001"
"blocking,inverseDelay,centrality,timeComp2","0.970862362494689"
"blocking,inverseDelay,free,timeComp1","0.9666822740289555"
"blocking,inverseDelay,timeComp1,timeComp2","0.9702328446414021"
"blocking,centrality,free,timeComp1","0.9481410953917171"
"blocking,centrality,free,timeComp2","0.9732253031765203"
"blocking,centrality,timeComp1,timeComp2","0.9729054787413842"
"blocking,free,timeComp1,timeComp2","0.975392908288012"
"delay,inverseBlocking,inverseDelay,centrality","0.970862362494689"
"delay,inverseBlocking,inverseDelay,free","0.9750289281925077"
"delay,inverseBlocking,inverseDelay,timeComp1","0.9702328446414021"
"delay,inverseBlocking,centrality,free","0.9732253031765203"
"delay,inverseBlocking,free,timeComp1","0.975392908288012"
"delay,inverseDelay,centrality,free","0.975861313107204"
"delay,inverseDelay,centrality,timeComp1","0.9712575960309763"
"delay,inverseDelay,centrality,timeComp2","0.9708623624946889"
"delay,inverseDelay,free,timeComp1","0.975659505310353"
"delay,inverseDelay,free,timeComp2","0.9750289281925077"
"delay,inverseDelay,timeComp1,timeComp2","0.970232844641402"
"delay,centrality,free,timeComp1","0.9760196237957917"
"delay,centrality,free,timeComp2","0.9732253031765203"
"delay,centrality,timeComp1,timeComp2","0.9729054787413842"
"delay,free,timeComp1,timeComp2","0.9753929082880121"
"inverseBlocking,inverseDelay,centrality,free","0.9499023240204825"
"inverseBlocking,inverseDelay,centrality,timeComp1","0.9707951610005001"
"inverseBlocking,inverseDelay,centrality,timeComp2","0.970862362494689"
"inverseBlocking,inverseDelay,free,timeComp1","0.9666822740289555"
"inverseBlocking,inverseDelay,timeComp1,timeComp2","0.9702328446414021"
"inverseBlocking,centrality,free,timeComp1","0.9481410953917171"
"inverseBlocking,centrality,free,timeComp2","0.9732253031765203"
"inverseBlocking,centrality,timeComp1,timeComp2","0.9729054787413842"
"inverseBlocking,free,timeComp1,timeComp2","0.975392908288012"
"inverseDelay,centrality,free,timeComp1","0.9672315312526942"
"inverseDelay,centrality,free,timeComp2","0.9678285681242874"
"inverseDelay,centrality,timeComp1,timeComp2","0.968691094545063"
"inverseDelay,free,timeComp1,timeComp2","0.9688934372801729"
"complexity,blocking,delay,inverseDelay,centrality","0.970862362494689"
"complexity,blocking,delay,inverseDelay,free","0.9750289281925077"
"complexity,blocking,delay,inverseDelay,timeComp1","0.9702328446414021"
"complexity,blocking,delay,centrality,free","0.9732253031765203"
"complexity,blocking,delay,centrality,timeComp1","0.9729054787413842"
"complexity,blocking,delay,free,timeComp1","0.975392908288012"
"complexity,blocking,inverseDelay,centrality,free","0.9764424366592397"
"complexity,blocking,inverseDelay,centrality,timeComp1","0.9749520734606578"
"complexity,blocking,inverseDelay,free,timeComp1","0.976834361282309"
"complexity,blocking,centrality,free,timeComp1","0.9781714982249452"
"complexity,delay,inverseBlocking,inverseDelay,centrality","0.970862362494689"
"complexity,delay,inverseBlocking,inverseDelay,free","0.9750289281925077"
"complexity,delay,inverseBlocking,inverseDelay,timeComp1","0.9702328446414021"
"complexity,delay,inverseBlocking,centrality,free","0.9732253031765205"
"complexity,delay,inverseBlocking,centrality,timeComp1","0.9729054787413842"
"complexity,delay,inverseBlocking,free,timeComp1","0.975392908288012"
"complexity,delay,inverseDelay,centrality,free","0.9764424366592397"
"complexity,delay,inverseDelay,centrality,timeComp1","0.9749520734606578"
"complexity,delay,inverseDelay,free,timeComp1","0.9768343612823092"
"complexity,delay,centrality,free,timeComp1","0.9781714982249452"
"complexity,inverseBlocking,inverseDelay,centrality,free","0.9764424366592397"
"complexity,inverseBlocking,inverseDelay,centrality,timeComp1","0.9749520734606578"
"complexity,inverseBlocking,inverseDelay,free,timeComp1","0.976834361282309"
"complexity,inverseBlocking,centrality,free,timeComp1","0.9781714982249452"
"complexity,inverseDelay,centrality,free,timeComp1","0.9714154278769589"
"blocking,delay,inverseDelay,centrality,free","0.9764424366592397"
"blocking,delay,inverseDelay,centrality,timeComp1","0.9749520734606578"
"blocking,delay,inverseDelay,free,timeComp1","0.976834361282309"
"blocking,delay,centrality,free,timeComp1","0.9781714982249452"
"blocking,inverseDelay,centrality,free,timeComp2","0.9764424366592398"
"blocking,inverseDelay,centrality,timeComp1,timeComp2","0.9749520734606578"
"blocking,inverseDelay,free,timeComp1,timeComp2","0.9768343612823092"
"blocking,centrality,free,timeComp1,timeComp2","0.9781714982249452"
"delay,inverseBlocking,inverseDelay,centrality,free","0.9764424366592397"
"delay,inverseBlocking,inverseDelay,centrality,timeComp1","0.9749520734606578"
"delay,inverseBlocking,inverseDelay,free,timeComp1","0.976834361282309"
"delay,inverseBlocking,centrality,free,timeComp1","0.9781714982249452"
"delay,inverseDelay,centrality,free,timeComp1","0.9774616225084656"
"delay,inverseDelay,centrality,free,timeComp2","0.9764424366592397"
"delay,inverseDelay,centrality,timeComp1,timeComp2","0.9749520734606578"
"delay,inverseDelay,free,timeComp1,timeComp2","0.976834361282309"
"delay,centrality,free,timeComp1,timeComp2","0.9781714982249452"
"inverseBlocking,inverseDelay,centrality,free,timeComp2","0.9764424366592398"
"inverseBlocking,inverseDelay,centrality,timeComp1,timeComp2","0.9749520734606578"
"inverseBlocking,inverseDelay,free,timeComp1,timeComp2","0.9768343612823092"
"inverseBlocking,centrality,free,timeComp1,timeComp2","0.9781714982249452"
"complexity,blocking,delay,inverseDelay,centrality,free","0.9764424366592397"
"complexity,blocking,delay,inverseDelay,centrality,timeComp1","0.9749520734606578"
"complexity,blocking,delay,inverseDelay,free,timeComp1","0.976834361282309"
"complexity,blocking,delay,centrality,free,timeComp1","0.9781714982249452"
"complexity,blocking,inverseDelay,centrality,free,timeComp1","0.9787202268719684"
"complexity,delay,inverseBlocking,inverseDelay,centrality,free","0.9764424366592397"
"complexity,delay,inverseBlocking,inverseDelay,centrality,timeComp1","0.9749520734606578"
"complexity,delay,inverseBlocking,inverseDelay,free,timeComp1","0.976834361282309"
"complexity,delay,inverseBlocking,centrality,free,timeComp1","0.9781714982249452"
"complexity,delay,inverseDelay,centrality,free,timeComp1","0.9787202268719684"
"complexity,inverseBlocking,inverseDelay,centrality,free,timeComp1","0.9787202268719684"
"blocking,delay,inverseDelay,centrality,free,timeComp1","0.9787202268719682"
"blocking,inverseDelay,centrality,free,timeComp1,timeComp2","0.9787202268719682"
"delay,inverseBlocking,inverseDelay,centrality,free,timeComp1","0.9787202268719682"
"delay,inverseDelay,centrality,free,timeComp1,timeComp2","0.9787202268719682"
"inverseBlocking,inverseDelay,centrality,free,timeComp1,timeComp2","0.9787202268719682"
"complexity,blocking,delay,inverseDelay,centrality,free,timeComp1","0.9787202268719682"
"complexity,delay,inverseBlocking,inverseDelay,centrality,free,timeComp1","0.9787202268719682"
