"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5"
"Course 1","49.32","74.62","87.65","93.61","96.77"
"Course 2","50.12","74.48","86.92","93.44","96.81"
"Course 3","0.0","11.92","33.94","55.37","71.05"
"Course 4","50.0","75.25","87.43","93.68","96.78"
"GRAD RATE","0.0","8.89","29.7","51.93","68.84"
