"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5"
"Course 1","49.92","74.86","87.8","93.74","96.76"
"Course 2","50.63","75.91","88.05","93.85","96.89"
"Course 3","0.0","24.45","50.1","68.89","81.56"
"Course 4","0.0","12.22","34.83","56.31","72.15"
"GRAD RATE","0.0","5.92","23.77","45.39","63.73"
