"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5"
"Course 1","50.31","75.53","88.12","93.91","97.01"
"Course 2","50.82","75.56","87.55","93.83","97.11"
"Course 3","0.0","12.6","34.16","55.65","71.29"
"Course 4","0.0","12.89","35.47","56.29","71.95"
"GRAD RATE","0.0","6.61","22.15","42.24","60.15"
