"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5"
"Course 1","50.01","75.16","87.2","93.33","96.68"
"Course 2","50.48","75.24","87.37","94.04","96.82"
"Course 3","0.0","25.51","50.41","68.76","81.26"
"Course 4","0.0","24.71","50.21","69.09","81.47"
"GRAD RATE","0.0","6.24","24.8","46.86","66.12"
