"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5"
"Course 1","49.64","75.1","87.68","93.77","96.75"
"Course 2","50.34","75.15","87.88","93.97","97.01"
"Course 3","0.0","25.02","49.64","68.92","81.64"
"Course 4","0.0","25.11","49.75","69.23","81.53"
"GRAD RATE","0.0","9.26","29.22","52.22","69.93"
