"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5"
"Course 1","50.01","75.42","87.46","93.39","96.65"
"Course 2","49.69","75.03","87.56","93.78","96.95"
"Course 3","50.16","75.13","87.26","93.82","96.94"
"Course 4","0.0","43.82","70.79","85.16","92.55"
"GRAD RATE","0.0","20.31","48.55","70.27","84.09"
