"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"MATH 1220","80.7","95.9","99.1","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1100","80.8","95.0","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1110","80.4","96.3","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"IME 1020","80.5","94.7","98.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ECE 2500","79.0","96.2","99.4","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"General Education- Area 8","80.9","95.6","98.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1230","0.0","65.0","89.6","97.0","99.2","99.7","100.0","100.0","100.0","100.0"
"PHYS 2050","0.0","62.8","89.1","97.4","99.6","100.1","100.1","100.2","100.2","100.2"
"PHYS 2060","0.0","64.4","90.3","97.2","99.7","100.0","100.0","100.0","100.0","100.0"
"CS 1200","0.0","73.1","94.0","99.6","99.9","99.9","100.0","100.0","100.0","100.0"
"General Education- Area 1","0.0","54.1","92.3","97.9","99.5","99.9","99.9","100.0","100.0","100.0"
"MATH 2720","0.0","0.0","52.9","82.9","93.9","97.9","99.5","99.8","99.9","100.0"
"PHYS 2070","0.0","0.0","39.4","77.0","92.6","99.2","100.5","101.1","101.3","101.3"
"PHYS 2080","0.0","0.0","40.2","74.3","91.6","97.7","99.3","99.7","99.9","99.9"
"ECE 2510","0.0","0.0","53.8","85.6","97.0","99.2","99.8","100.0","100.0","100.0"
"General Education- Area 2","0.0","12.5","58.8","91.4","97.7","99.5","99.9","99.9","100.0","100.0"
"MATH 3740","0.0","0.0","0.0","41.1","73.3","89.0","96.1","98.6","99.5","99.8"
"ECE 2100","0.0","0.0","0.0","30.2","67.0","86.1","95.1","98.4","99.7","100.0"
"PHYS 3090 or CHEM 1120","0.0","0.0","0.0","16.9","59.9","83.4","94.1","97.6","99.3","99.8"
"PHYS 3100 or CHEM 1130","0.0","0.0","0.0","24.3","62.3","83.4","94.7","98.5","99.6","99.8"
"General Education- Area 3","0.0","5.6","23.3","61.8","88.3","97.7","99.8","99.9","100.0","100.0"
"ECE 2210","0.0","0.0","0.0","0.0","22.3","58.8","80.8","92.2","97.1","98.8"
"ECE 3100","0.0","0.0","0.0","0.0","15.6","49.0","73.9","88.6","95.9","98.5"
"ECE 3610","0.0","0.0","0.0","0.0","12.5","46.8","72.9","88.2","95.2","98.8"
"Engineering Science Elective 1","0.0","0.0","8.6","43.0","74.7","94.4","98.5","99.8","100.0","100.0"
"General Education- Area 4","0.0","0.0","2.3","25.9","54.5","86.7","96.9","99.3","99.8","99.8"
"ECE 3200","0.0","0.0","0.0","0.0","0.0","9.6","37.4","63.6","82.3","92.1"
"ECE 3710","0.0","0.0","0.0","0.0","0.0","11.1","41.0","67.1","84.3","93.5"
"ECE 3800","0.0","0.0","0.0","0.0","0.0","8.9","38.8","68.0","84.6","93.5"
"IEE 3160","0.0","0.0","0.8","13.0","34.9","69.5","89.6","97.6","99.5","99.8"
"Engineering Science Elective 2","0.0","0.0","0.0","4.4","23.3","50.5","82.6","95.8","99.1","99.8"
"ECE 4810","0.0","0.0","0.0","0.0","0.0","0.0","2.8","24.7","54.5","75.8"
"ECE 3300","0.0","0.0","0.0","0.0","0.0","0.0","24.0","57.9","80.3","92.2"
"IEE 3100","0.0","0.0","0.0","0.0","12.2","34.3","62.4","90.1","97.5","99.5"
"ECE ELECTIVE 1","0.0","0.0","0.0","1.1","7.9","21.4","47.3","80.8","94.9","99.5"
"Engineering Science Elective 3","0.0","0.0","0.0","0.7","4.0","14.2","34.2","69.5","92.1","97.8"
"ECE 4820","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5","21.1","47.5"
"ECE ELECTIVE 2","0.0","0.0","0.0","0.0","2.0","9.8","23.3","58.6","89.1","97.5"
"ECE ELECTIVE 3","0.0","0.0","0.0","0.0","0.9","4.9","15.9","42.1","79.8","95.3"
"Engineering Science Elective 4","0.0","0.0","0.0","0.0","0.1","2.3","10.0","30.0","71.7","94.0"
"General Education- Area 5","0.0","0.0","0.0","0.0","0.1","1.1","5.1","17.8","61.1","90.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","9.2","38.1"
