"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"ANTH452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","45.1","82.0","96.2","98.9"
"BUS496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","18.7","54.3","82.3","94.4"
"MGT422","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","30.2","75.2","93.5","98.5"
"PHIL331","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","19.0","61.1","89.2","98.4"
"PSY347","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","9.5","51.6","84.4","96.5"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.3","43.3","79.0","95.6"
"MGT423","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","32.6","74.2","93.1"
"BUS497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","12.4","44.4","73.5"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","19.6","61.9","89.5"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","10.5","51.2","84.3"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3","20.6","59.2"
