"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.2","38.4","78.8","94.8","99.3"
"ANTH452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","29.2","73.0","92.7","98.4"
"BUS447","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","13.6","51.7","81.3","94.1"
"BUS496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","9.7","41.9","74.4","90.5"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8","15.1","57.6","86.3","96.5"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.5","40.8","80.3","95.4"
"BUS434","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3","29.9","72.6","92.4"
"BUS442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","23.2","65.1","88.7"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","13.4","56.1","87.2"
"BUS497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.5","29.1","64.6"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","16.7","50.6"
