"combinations","n","pMax","pAvg","r2"
"complexity","1","0.0","0.0","0.9549352178986569"
"blocking","1","0.0","0.0","0.8823533087649318"
"delay","1","0.0","0.0","0.9557070142885584"
"centrality","1","0.0","0.0","0.8757714609186198"
"reachability","1","0.0","0.0","0.8823533087649318"
"term_complexity","1","0.0","0.0","0.9357423843553865"
"term_blocking","1","1.136e-321","5.7e-322","0.8521958140557622"
"term_delay","1","0.0","0.0","0.926561394637077"
"term_centrality","1","0.0","0.0","0.8761884873656213"
"term_reachability","1","1.136e-321","5.7e-322","0.8521958140557622"
"free","1","0.05464350228334815","0.027321751141674074","0.7093120704090397"
"edges","1","1.1111382173802415e-203","5.555691086901207e-204","0.7843283161052361"
"complexity,centrality","2","1.1983883906792735e-7","3.994627968930912e-8","0.9594131460721367"
"complexity,reachability","2","7.684929067288871e-14","2.5616430224296235e-14","0.963062211237217"
"complexity,term_centrality","2","0.0026234069751972593","0.0008744689917324198","0.9564860394031602"
"complexity,term_reachability","2","0.009458427125979479","0.0031528090419931597","0.9560991353164795"
"complexity,free","2","0.09673201950085233","0.03224400650028411","0.9554193937911528"
"complexity,edges","2","7.092240391909396e-16","2.3640801306364653e-16","0.9641297825326575"
"blocking,delay","2","1.1455235136350489e-12","3.81841171211683e-13","0.963062211237217"
"blocking,centrality","2","0.44370965702508913","0.14794244063987674","0.8826244140787496"
"blocking,term_delay","2","4.6782223100587265e-30","1.5594074366862421e-30","0.9513901357952792"
"blocking,term_centrality","2","0.11842906326400886","0.03949890261861307","0.8834717844015373"
"blocking,term_reachability","2","0.17669246855611417","0.0588974895187048","0.8831926779050183"
"blocking,free","2","2.2751707473031144e-10","7.583902491010381e-11","0.8984338696821882"
"blocking,edges","2","0.0001249708614277845","4.16569538092615e-5","0.888796192871341"
"delay,centrality","2","4.3320176352670947e-16","1.444005878422365e-16","0.964851122506645"
"delay,reachability","2","1.1455235136349237e-12","3.818411712116412e-13","0.963062211237217"
