"combinations","r2"
"inverseBlocking,centrality,timeComp2","0.7854711707928584"
"inverseBlocking,creditHours,free","0.9061276259952727"
"inverseBlocking,creditHours,timeComp1","0.9105473150494554"
"inverseBlocking,creditHours,timeComp2","0.9181194846245815"
"inverseBlocking,free,timeComp1","0.7857312743694593"
"inverseBlocking,free,timeComp2","0.7615532283478583"
"inverseBlocking,timeComp1,timeComp2","0.7885151714667755"
"inverseDelay,centrality,creditHours","0.9180360006872351"
"inverseDelay,centrality,free","0.5427331355408549"
"inverseDelay,centrality,timeComp1","0.7746993912642697"
"inverseDelay,centrality,timeComp2","0.7766221925430903"
"inverseDelay,creditHours,free","0.8966026059034454"
"inverseDelay,creditHours,timeComp1","0.8960230066956018"
"inverseDelay,creditHours,timeComp2","0.8976135668528427"
"inverseDelay,free,timeComp1","0.7860581635397714"
"inverseDelay,free,timeComp2","0.7779792700645892"
"inverseDelay,timeComp1,timeComp2","0.7980271041443363"
"centrality,creditHours,free","0.9160030552730988"
"centrality,creditHours,timeComp1","0.9214128354960661"
"centrality,creditHours,timeComp2","0.9224849595055121"
"centrality,free,timeComp1","0.7662812222477665"
"centrality,free,timeComp2","0.7341998136855021"
"centrality,timeComp1,timeComp2","0.7569850650173784"
"creditHours,free,timeComp2","0.8924989277093635"
"creditHours,timeComp1,timeComp2","0.8958449740209016"
"free,timeComp1,timeComp2","0.7474697965051706"
"complexity,blocking,delay,centrality","0.49630956337571364"
"complexity,blocking,delay,creditHours","0.9126463456586608"
"complexity,blocking,delay,free","0.5058218006361297"
"complexity,blocking,delay,timeComp1","0.7920619998530055"
"complexity,blocking,delay,timeComp2","0.814352086822359"
"complexity,blocking,inverseDelay,centrality","0.5325621696251228"
"complexity,blocking,inverseDelay,creditHours","0.9128587418219747"
"complexity,blocking,inverseDelay,free","0.541868380872203"
"complexity,blocking,inverseDelay,timeComp1","0.7922014997483615"
"complexity,blocking,inverseDelay,timeComp2","0.8143855076796422"
"complexity,blocking,centrality,creditHours","0.9192092495381475"
"complexity,blocking,centrality,free","0.5090798068069003"
"complexity,blocking,centrality,timeComp1","0.7921752507228785"
"complexity,blocking,centrality,timeComp2","0.8187694296334875"
"complexity,blocking,creditHours,free","0.9127654764977038"
"complexity,blocking,creditHours,timeComp1","0.9139065568890589"
"complexity,blocking,creditHours,timeComp2","0.9181858279859757"
"complexity,blocking,free,timeComp1","0.8051249312052136"
"complexity,blocking,free,timeComp2","0.8177399257070925"
"complexity,blocking,timeComp1,timeComp2","0.8307794204339334"
"complexity,delay,inverseBlocking,inverseDelay","0.5305781135876149"
"complexity,delay,inverseBlocking,centrality","0.49630956337571364"
"complexity,delay,inverseBlocking,creditHours","0.9126463456586608"
"complexity,delay,inverseBlocking,free","0.5058218006361297"
"complexity,delay,inverseBlocking,timeComp1","0.7920619998530055"
"complexity,delay,inverseBlocking,timeComp2","0.8143520868223592"
"complexity,delay,inverseDelay,centrality","0.532562169625123"
"complexity,delay,inverseDelay,creditHours","0.9128587418219748"
"complexity,delay,inverseDelay,free","0.5418683808722029"
"complexity,delay,inverseDelay,timeComp1","0.7922014997483613"
"complexity,delay,inverseDelay,timeComp2","0.8143855076796422"
"complexity,delay,centrality,free","0.5090798068069003"
"complexity,delay,centrality,timeComp1","0.7921752507228785"
"complexity,delay,centrality,timeComp2","0.8187694296334876"
"complexity,delay,creditHours,free","0.9127654764977038"
"complexity,delay,creditHours,timeComp1","0.9139065568890589"
"complexity,delay,creditHours,timeComp2","0.9181858279859756"
"complexity,delay,free,timeComp1","0.8051249312052133"
"complexity,delay,free,timeComp2","0.8177399257070925"
"complexity,delay,timeComp1,timeComp2","0.8307794204339334"
"complexity,inverseBlocking,inverseDelay,centrality","0.5325621696251228"
"complexity,inverseBlocking,inverseDelay,creditHours","0.9128587418219747"
"complexity,inverseBlocking,inverseDelay,free","0.541868380872203"
"complexity,inverseBlocking,inverseDelay,timeComp1","0.7922014997483615"
"complexity,inverseBlocking,inverseDelay,timeComp2","0.8143855076796422"
"complexity,inverseBlocking,centrality,creditHours","0.9192092495381475"
"complexity,inverseBlocking,centrality,free","0.5090798068069003"
"complexity,inverseBlocking,centrality,timeComp1","0.7921752507228785"
"complexity,inverseBlocking,centrality,timeComp2","0.8187694296334875"
"complexity,inverseBlocking,creditHours,free","0.9127654764977038"
"complexity,inverseBlocking,creditHours,timeComp1","0.9139065568890589"
"complexity,inverseBlocking,creditHours,timeComp2","0.9181858279859757"
"complexity,inverseBlocking,free,timeComp1","0.8051249312052136"
"complexity,inverseBlocking,free,timeComp2","0.8177399257070925"
"complexity,inverseBlocking,timeComp1,timeComp2","0.8307794204339334"
"complexity,inverseDelay,centrality,creditHours","0.9192958102712995"
"complexity,inverseDelay,centrality,free","0.5428614872501348"
"complexity,inverseDelay,centrality,timeComp1","0.7922318599018632"
"complexity,inverseDelay,centrality,timeComp2","0.8161904708501632"
"complexity,inverseDelay,creditHours,free","0.901570243287969"
