"combinations","n","r2"
"inverseBlocking,inverseDelay,centrality","3","0.5318382626275029"
"inverseBlocking,inverseDelay,creditHours","3","0.9083431050293049"
"inverseBlocking,inverseDelay,free","3","0.541695955738117"
"inverseBlocking,inverseDelay,timeComp1","3","0.7831120038136071"
"inverseBlocking,inverseDelay,timeComp2","3","0.778267303476696"
"inverseBlocking,centrality,creditHours","3","0.9184775258114128"
"inverseBlocking,centrality,free","3","0.49578469616868226"
"inverseBlocking,centrality,timeComp1","3","0.783218606290519"
"inverseBlocking,centrality,timeComp2","3","0.7860571995604941"
"inverseBlocking,creditHours,free","3","0.9056965988349572"
"inverseBlocking,creditHours,timeComp1","3","0.9102602449678129"
"inverseBlocking,creditHours,timeComp2","3","0.917432146993831"
"inverseBlocking,free,timeComp1","3","0.7853228769045364"
"inverseBlocking,free,timeComp2","3","0.7618109374008236"
"inverseBlocking,timeComp1,timeComp2","3","0.7881959286453758"
"inverseDelay,centrality,creditHours","3","0.917688906103818"
"inverseDelay,centrality,free","3","0.5430607875032618"
"inverseDelay,centrality,timeComp1","3","0.7741904571405126"
"inverseDelay,centrality,timeComp2","3","0.777588671039307"
"inverseDelay,creditHours,free","3","0.8959231653334936"
"inverseDelay,creditHours,timeComp1","3","0.8954459492346127"
"inverseDelay,creditHours,timeComp2","3","0.8968024180860671"
"inverseDelay,free,timeComp1","3","0.7860782324750069"
"inverseDelay,free,timeComp2","3","0.7787850823687896"
"inverseDelay,timeComp1,timeComp2","3","0.798386522793874"
"centrality,creditHours,free","3","0.9156430135508343"
"centrality,creditHours,timeComp1","3","0.9211243819064903"
"centrality,creditHours,timeComp2","3","0.9219506945366972"
"centrality,free,timeComp1","3","0.7661421144274219"
"centrality,free,timeComp2","3","0.7347026614324292"
"centrality,timeComp1,timeComp2","3","0.7567410318388775"
"creditHours,free,timeComp1","3","0.8948785146256804"
"creditHours,free,timeComp2","3","0.8919057228018527"
"creditHours,timeComp1,timeComp2","3","0.8951332317613492"
"free,timeComp1,timeComp2","3","0.7477620800214164"
"complexity,blocking,delay,inverseDelay","4","0.5305578622687667"
"complexity,blocking,delay,free","4","0.5060612065736814"
"complexity,blocking,delay,timeComp1","4","0.7916346338704813"
"complexity,blocking,delay,timeComp2","4","0.8158404788275119"
"complexity,blocking,inverseDelay,centrality","4","0.5326207322241452"
"complexity,blocking,inverseDelay,creditHours","4","0.9126864039980471"
"complexity,blocking,inverseDelay,free","4","0.5422917497214317"
"complexity,blocking,inverseDelay,timeComp1","4","0.791788328058828"
"complexity,blocking,inverseDelay,timeComp2","4","0.8158738898961121"
"complexity,blocking,centrality,creditHours","4","0.9188793587439426"
"complexity,blocking,centrality,free","4","0.5094513979577144"
"complexity,blocking,centrality,timeComp1","4","0.7917296121152617"
"complexity,blocking,centrality,timeComp2","4","0.8201788336240262"
"complexity,blocking,creditHours,free","4","0.9126282124353207"
"complexity,blocking,creditHours,timeComp1","4","0.9137506343575098"
"complexity,blocking,creditHours,timeComp2","4","0.9174505230503878"
"complexity,blocking,free,timeComp1","4","0.8051739860972825"
"complexity,blocking,free,timeComp2","4","0.8190320759736818"
"complexity,blocking,timeComp1,timeComp2","4","0.8315790655391091"
"complexity,delay,inverseBlocking,inverseDelay","4","0.5305578622687666"
"complexity,delay,inverseBlocking,centrality","4","0.4961795430944065"
"complexity,delay,inverseBlocking,creditHours","4","0.9124591125656027"
"complexity,delay,inverseBlocking,free","4","0.5060612065736811"
"complexity,delay,inverseBlocking,timeComp1","4","0.7916346338704812"
"complexity,delay,inverseBlocking,timeComp2","4","0.8158404788275118"
"complexity,delay,inverseDelay,centrality","4","0.5326207322241452"
"complexity,delay,inverseDelay,creditHours","4","0.9126864039980471"
"complexity,delay,inverseDelay,free","4","0.5422917497214317"
"complexity,delay,inverseDelay,timeComp2","4","0.8158738898961121"
"complexity,delay,centrality,creditHours","4","0.9188793587439426"
"complexity,delay,centrality,free","4","0.5094513979577145"
"complexity,delay,centrality,timeComp1","4","0.7917296121152617"
"complexity,delay,centrality,timeComp2","4","0.8201788336240261"
"complexity,delay,creditHours,free","4","0.9126282124353206"
"complexity,delay,creditHours,timeComp1","4","0.9137506343575097"
"complexity,delay,creditHours,timeComp2","4","0.9174505230503878"
"complexity,delay,free,timeComp1","4","0.8051739860972825"
"complexity,delay,free,timeComp2","4","0.8190320759736819"
"complexity,delay,timeComp1,timeComp2","4","0.8315790655391091"
"complexity,inverseBlocking,inverseDelay,centrality","4","0.5326207322241452"
"complexity,inverseBlocking,inverseDelay,creditHours","4","0.9126864039980471"
"complexity,inverseBlocking,inverseDelay,free","4","0.5422917497214317"
"complexity,inverseBlocking,inverseDelay,timeComp1","4","0.791788328058828"
"complexity,inverseBlocking,inverseDelay,timeComp2","4","0.8158738898961121"
"complexity,inverseBlocking,centrality,creditHours","4","0.9188793587439426"
"complexity,inverseBlocking,centrality,free","4","0.5094513979577144"
"complexity,inverseBlocking,centrality,timeComp1","4","0.7917296121152617"
"complexity,inverseBlocking,centrality,timeComp2","4","0.8201788336240262"
"complexity,inverseBlocking,creditHours,free","4","0.9126282124353207"
"complexity,inverseBlocking,creditHours,timeComp1","4","0.9137506343575098"
"complexity,inverseBlocking,creditHours,timeComp2","4","0.9174505230503878"
"complexity,inverseBlocking,free,timeComp1","4","0.8051739860972825"
"complexity,inverseBlocking,free,timeComp2","4","0.8190320759736818"
"complexity,inverseBlocking,timeComp1,timeComp2","4","0.8315790655391091"
"complexity,inverseDelay,centrality,creditHours","4","0.9189680591876633"
"complexity,inverseDelay,centrality,free","4","0.543191955985596"
"complexity,inverseDelay,centrality,timeComp1","4","0.7917686127497461"
"complexity,inverseDelay,centrality,timeComp2","4","0.8174155697771499"
"complexity,inverseDelay,creditHours,free","4","0.9009886653132064"
"complexity,inverseDelay,creditHours,timeComp1","4","0.901198721140544"
"complexity,inverseDelay,creditHours,timeComp2","4","0.9131144828855985"
"complexity,inverseDelay,free,timeComp2","4","0.7968407593388487"
"complexity,inverseDelay,timeComp1,timeComp2","4","0.8181543583148281"
"complexity,centrality,creditHours,free","4","0.918879177044827"
"complexity,centrality,creditHours,timeComp1","4","0.9211251482785779"
"complexity,centrality,creditHours,timeComp2","4","0.9230878612654837"
"complexity,centrality,free,timeComp1","4","0.8035031140124546"
"complexity,centrality,free,timeComp2","4","0.8240105283000121"
"complexity,centrality,timeComp1,timeComp2","4","0.8324168168098137"
"complexity,creditHours,free,timeComp1","4","0.901170964797732"
"complexity,creditHours,free,timeComp2","4","0.9145044465994634"
"complexity,creditHours,timeComp1,timeComp2","4","0.9131198789172519"
"complexity,free,timeComp1,timeComp2","4","0.8156515786009653"
"blocking,delay,inverseDelay,centrality","4","0.5326207322241452"
"blocking,delay,inverseDelay,creditHours","4","0.9126864039980472"
"blocking,delay,inverseDelay,free","4","0.5422917497214317"
"blocking,delay,inverseDelay,timeComp1","4","0.7917883280588278"
"blocking,delay,inverseDelay,timeComp2","4","0.815873889896112"
"blocking,delay,centrality,creditHours","4","0.9188793587439424"
"blocking,delay,centrality,free","4","0.5094513979577144"
"blocking,delay,centrality,timeComp1","4","0.7917296121152617"
"blocking,delay,centrality,timeComp2","4","0.8201788336240261"
"blocking,delay,creditHours,free","4","0.9126282124353206"
"blocking,delay,creditHours,timeComp1","4","0.9137506343575098"
"blocking,delay,creditHours,timeComp2","4","0.9174505230503878"
"blocking,delay,free,timeComp1","4","0.8051739860972825"
"blocking,delay,free,timeComp2","4","0.8190320759736819"
"blocking,delay,timeComp1,timeComp2","4","0.8315790655391092"
"blocking,inverseDelay,centrality,creditHours","4","0.9185207706703786"
"blocking,inverseDelay,centrality,free","4","0.5433322467482136"
"blocking,inverseDelay,centrality,timeComp1","4","0.7856894861805552"
"blocking,inverseDelay,centrality,timeComp2","4","0.7973548287665122"
"blocking,inverseDelay,creditHours,free","4","0.9083585239025467"
"blocking,inverseDelay,creditHours,timeComp1","4","0.9108638506825234"
"blocking,inverseDelay,creditHours,timeComp2","4","0.9182301298456257"
"blocking,inverseDelay,free,timeComp1","4","0.7931230742578704"
"blocking,inverseDelay,free,timeComp2","4","0.7824989206902345"
"blocking,inverseDelay,timeComp1,timeComp2","4","0.8056001287213004"
"blocking,centrality,creditHours,free","4","0.91849814938729"
"blocking,centrality,creditHours,timeComp1","4","0.9211286640700197"
"blocking,centrality,creditHours,timeComp2","4","0.9222808982666184"
"blocking,centrality,free,timeComp1","4","0.7910780505690655"
"blocking,centrality,free,timeComp2","4","0.7930136556854668"
"blocking,centrality,timeComp1,timeComp2","4","0.8060880904628918"
"blocking,creditHours,free,timeComp2","4","0.9192002110404075"
"blocking,creditHours,timeComp1,timeComp2","4","0.9178517240787122"
"blocking,free,timeComp1,timeComp2","4","0.7893871689641494"
"delay,inverseBlocking,inverseDelay,centrality","4","0.5326207322241452"
"delay,inverseBlocking,inverseDelay,creditHours","4","0.912686403998047"
"delay,inverseBlocking,inverseDelay,free","4","0.5422917497214319"
"delay,inverseBlocking,inverseDelay,timeComp1","4","0.7917883280588279"
"delay,inverseBlocking,inverseDelay,timeComp2","4","0.8158738898961121"
"delay,inverseBlocking,centrality,creditHours","4","0.9188793587439426"
"delay,inverseBlocking,centrality,free","4","0.5094513979577145"
"delay,inverseBlocking,centrality,timeComp1","4","0.7917296121152619"
"delay,inverseBlocking,centrality,timeComp2","4","0.8201788336240262"
"delay,inverseBlocking,creditHours,free","4","0.9126282124353206"
"delay,inverseBlocking,creditHours,timeComp1","4","0.9137506343575098"
"delay,inverseBlocking,creditHours,timeComp2","4","0.9174505230503879"
"delay,inverseBlocking,free,timeComp2","4","0.8190320759736818"
"delay,inverseBlocking,timeComp1,timeComp2","4","0.8315790655391092"
"delay,inverseDelay,centrality,creditHours","4","0.9189009933739224"
"delay,inverseDelay,centrality,free","4","0.5438215622332414"
"delay,inverseDelay,centrality,timeComp1","4","0.7905701352417422"
"delay,inverseDelay,centrality,timeComp2","4","0.8196800625978475"
"delay,inverseDelay,creditHours,free","4","0.8959442616682368"
"delay,inverseDelay,creditHours,timeComp1","4","0.8954774228592156"
"delay,inverseDelay,creditHours,timeComp2","4","0.8991972161188522"
"delay,inverseDelay,free,timeComp1","4","0.805190230089609"
"delay,inverseDelay,free,timeComp2","4","0.8159049960582577"
"delay,inverseDelay,timeComp1,timeComp2","4","0.8307354119836912"
"delay,centrality,creditHours,free","4","0.918808905080407"
"delay,centrality,creditHours,timeComp1","4","0.9211244122978668"
"delay,centrality,creditHours,timeComp2","4","0.9233783913813853"
"delay,centrality,free,timeComp1","4","0.8052001169151606"
"delay,centrality,free,timeComp2","4","0.8231924206451526"
"delay,centrality,timeComp1,timeComp2","4","0.8332610965566516"
"delay,creditHours,free,timeComp1","4","0.895512477712343"
"delay,creditHours,free,timeComp2","4","0.897510140388024"
"delay,creditHours,timeComp1,timeComp2","4","0.8995143611458747"
"delay,free,timeComp1,timeComp2","4","0.830711634152769"
"inverseBlocking,inverseDelay,centrality,creditHours","4","0.9185207706703786"
"inverseBlocking,inverseDelay,centrality,free","4","0.5433322467482136"
"inverseBlocking,inverseDelay,centrality,timeComp1","4","0.7856894861805552"
"inverseBlocking,inverseDelay,centrality,timeComp2","4","0.7973548287665122"
"inverseBlocking,inverseDelay,creditHours,free","4","0.9083585239025467"
"inverseBlocking,inverseDelay,creditHours,timeComp1","4","0.9108638506825234"
"inverseBlocking,inverseDelay,creditHours,timeComp2","4","0.9182301298456257"
"inverseBlocking,inverseDelay,free,timeComp1","4","0.7931230742578704"
"inverseBlocking,inverseDelay,free,timeComp2","4","0.7824989206902345"
"inverseBlocking,inverseDelay,timeComp1,timeComp2","4","0.8056001287213004"
"inverseBlocking,centrality,creditHours,free","4","0.91849814938729"
"inverseBlocking,centrality,creditHours,timeComp1","4","0.9211286640700197"
"inverseBlocking,centrality,creditHours,timeComp2","4","0.9222808982666184"
"inverseBlocking,centrality,free,timeComp1","4","0.7910780505690655"
"inverseBlocking,centrality,free,timeComp2","4","0.7930136556854668"
"inverseBlocking,centrality,timeComp1,timeComp2","4","0.8060880904628918"
"inverseBlocking,creditHours,free,timeComp2","4","0.9192002110404075"
"inverseBlocking,creditHours,timeComp1,timeComp2","4","0.9178517240787122"
"inverseBlocking,free,timeComp1,timeComp2","4","0.7893871689641494"
"inverseDelay,centrality,creditHours,free","4","0.9176989375893947"
"inverseDelay,centrality,creditHours,timeComp1","4","0.9212809790943937"
"inverseDelay,centrality,creditHours,timeComp2","4","0.9236215473830066"
"inverseDelay,centrality,free,timeComp1","4","0.7885595913737957"
"inverseDelay,centrality,free,timeComp2","4","0.7790908300660617"
"inverseDelay,centrality,timeComp1,timeComp2","4","0.798879607642345"
"inverseDelay,creditHours,free,timeComp1","4","0.8961468939424169"
"inverseDelay,creditHours,free,timeComp2","4","0.897447062182718"
"inverseDelay,creditHours,timeComp1,timeComp2","4","0.8994136168462246"
"inverseDelay,free,timeComp1,timeComp2","4","0.800081750927958"
"centrality,creditHours,free,timeComp1","4","0.9213296176630006"
"centrality,creditHours,free,timeComp2","4","0.922129359370773"
"centrality,creditHours,timeComp1,timeComp2","4","0.9224234753885948"
"centrality,free,timeComp1,timeComp2","4","0.7661825515271524"
"creditHours,free,timeComp1,timeComp2","4","0.8952342449601947"
"complexity,blocking,delay,inverseDelay,creditHours","5","0.9126864039980471"
"complexity,blocking,delay,inverseDelay,free","5","0.5422917497214316"
