"combinations","n","r2"
"inverseBlocking,inverseDelay,free","3","0.5676430202372427"
"inverseBlocking,inverseDelay,timeComp1","3","0.8664641179940124"
"inverseBlocking,inverseDelay,timeComp2","3","0.8624038054708888"
"inverseBlocking,centrality,creditHours","3","0.9797685402451444"
"inverseBlocking,centrality,free","3","0.513917403943402"
"inverseBlocking,centrality,timeComp1","3","0.8650144648794827"
"inverseBlocking,centrality,timeComp2","3","0.8609143170169368"
"inverseBlocking,creditHours,free","3","0.9785474462806858"
"inverseBlocking,creditHours,timeComp1","3","0.9785420449946409"
"inverseBlocking,creditHours,timeComp2","3","0.9794901931568119"
"inverseBlocking,free,timeComp1","3","0.8740955168975333"
"inverseBlocking,free,timeComp2","3","0.8536631575445576"
"inverseBlocking,timeComp1,timeComp2","3","0.8831137462616375"
"inverseDelay,centrality,creditHours","3","0.9800040361176401"
"inverseDelay,centrality,free","3","0.5781038125732252"
"inverseDelay,centrality,timeComp1","3","0.8560958780815109"
"inverseDelay,centrality,timeComp2","3","0.8515299308521262"
"inverseDelay,creditHours,timeComp1","3","0.9774377536928819"
"inverseDelay,creditHours,timeComp2","3","0.9777513324668379"
"inverseDelay,free,timeComp1","3","0.8470617599389816"
"inverseDelay,free,timeComp2","3","0.8469759482250634"
"inverseDelay,timeComp1,timeComp2","3","0.8649808672413672"
"centrality,creditHours,free","3","0.9797638850023745"
"centrality,creditHours,timeComp1","3","0.9797922382881649"
"centrality,creditHours,timeComp2","3","0.9798200577123726"
"centrality,free,timeComp1","3","0.8540578553722559"
"centrality,free,timeComp2","3","0.8144242883714842"
"centrality,timeComp1,timeComp2","3","0.8448269168497029"
"creditHours,free,timeComp1","3","0.9768999653310745"
"creditHours,free,timeComp2","3","0.9748172851222798"
"creditHours,timeComp1,timeComp2","3","0.9771077096519111"
"free,timeComp1,timeComp2","3","0.7933273679383503"
"complexity,blocking,delay,creditHours","4","0.979465665950315"
"complexity,blocking,delay,free","4","0.5152444994950032"
"complexity,blocking,delay,timeComp1","4","0.8727527432308709"
"complexity,blocking,delay,timeComp2","4","0.9005423918992472"
"complexity,blocking,inverseDelay,centrality","4","0.5682201571331911"
"complexity,blocking,inverseDelay,creditHours","4","0.9813153996949162"
"complexity,blocking,inverseDelay,free","4","0.5677056114499499"
"complexity,blocking,inverseDelay,timeComp1","4","0.8737537297062489"
"complexity,blocking,inverseDelay,timeComp2","4","0.9011613208112489"
"complexity,blocking,centrality,creditHours","4","0.9799188785542539"
"complexity,blocking,centrality,free","4","0.5308509558562637"
"complexity,blocking,centrality,timeComp1","4","0.875293179215074"
"complexity,blocking,centrality,timeComp2","4","0.9006623956468959"
"complexity,blocking,creditHours,free","4","0.9795245176576044"
"complexity,blocking,creditHours,timeComp1","4","0.9796734843454501"
"complexity,blocking,free,timeComp1","4","0.8867723860726584"
"complexity,blocking,free,timeComp2","4","0.9060541712338595"
"complexity,blocking,timeComp1,timeComp2","4","0.9209035893026227"
"complexity,delay,inverseBlocking,inverseDelay","4","0.5557329419021044"
"complexity,delay,inverseBlocking,centrality","4","0.5152508950480814"
"complexity,delay,inverseBlocking,creditHours","4","0.979465665950315"
"complexity,delay,inverseBlocking,free","4","0.5152444994950032"
"complexity,delay,inverseBlocking,timeComp1","4","0.8727527432308708"
"complexity,delay,inverseBlocking,timeComp2","4","0.9005423918992471"
"complexity,delay,inverseDelay,centrality","4","0.5682201571331913"
"complexity,delay,inverseDelay,creditHours","4","0.9813153996949162"
"complexity,delay,inverseDelay,free","4","0.56770561144995"
"complexity,delay,inverseDelay,timeComp1","4","0.8737537297062489"
"complexity,delay,inverseDelay,timeComp2","4","0.901161320811249"
"complexity,delay,centrality,creditHours","4","0.9799188785542539"
