"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"Course 1","49.56","74.82","87.04","93.62","96.73","98.39"
"Course 2","50.09","74.76","87.02","93.49","96.82","98.53"
"Course 3","0.0","11.82","34.69","55.07","71.07","82.23"
"Course 4","49.88","75.43","87.25","93.7","96.73","98.45"
"GRAD RATE","0.0","8.88","30.25","51.58","68.78","80.96"
