"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"Course 1","50.21","75.27","87.97","93.63","97.02","98.42"
"Course 2","49.75","75.56","87.86","94.26","96.76","98.26"
"Course 3","0.0","24.86","50.23","69.16","81.02","89.37"
"Course 4","49.22","74.3","86.78","93.59","96.8","98.51"
"GRAD RATE","0.0","13.45","38.02","61.04","76.05","86.58"
