"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"Course 1","49.22","74.74","86.98","93.61","96.72","98.31"
"Course 2","49.46","74.65","87.64","93.87","96.96","98.58"
"Course 3","0.0","25.06","49.34","67.82","80.8","88.95"
"Course 4","0.0","24.98","49.62","68.85","81.74","88.74"
"GRAD RATE","0.0","6.05","24.24","46.29","65.74","78.85"
