"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"Course 1","49.2","75.16","87.6","93.95","97.06","98.47"
"Course 2","50.52","75.32","87.79","93.85","96.97","98.57"
"Course 3","0.0","24.71","49.58","68.57","80.9","89.12"
"Course 4","0.0","12.67","34.91","56.68","72.46","83.24"
"GRAD RATE","0.0","6.38","23.99","45.53","63.69","77.32"
