"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"Course 1","51.11","74.84","87.34","93.77","96.69","98.33"
"Course 2","50.91","75.47","88.11","94.14","97.21","98.69"
"Course 3","0.0","12.95","35.65","56.5","72.41","82.88"
"Course 4","0.0","13.42","35.42","56.51","72.24","83.37"
"GRAD RATE","0.0","6.63","23.17","43.39","61.08","75.01"
