"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"Course 1","50.12","75.71","88.02","94.06","96.87","98.55"
"Course 2","49.29","74.0","86.78","93.23","96.69","98.38"
"Course 3","0.0","24.7","49.76","68.8","81.29","89.16"
"Course 4","0.0","25.06","50.27","68.91","81.83","89.49"
"GRAD RATE","0.0","9.44","29.85","51.34","69.77","81.74"
